Acct_No,Trans_Date,Ref_Code,Ref_no,Amount,Timestamp,Tag,Reading,Consumption,sequence
111200010,4/1/2019,2,10274234,367.5,4/3/19 13:03,W,16,5,3017610
111200030,4/1/2019,2,10274236,462.81,4/3/19 13:03,W,50,19,3017612
111200050,4/1/2019,2,10274237,210,4/3/19 13:03,W,47,10,3017613
111200060,4/1/2019,2,10274238,888.35,4/3/19 13:03,W,74,31,3017614
111200080,4/1/2019,2,10274239,703.54,4/3/19 13:03,W,76,26,3017615
111200090,4/1/2019,2,10274241,210,4/3/19 13:03,W,29,8,3017617
111200110,4/1/2019,2,10274242,266.18,4/3/19 13:03,W,31,12,3017618
111200130,4/1/2019,2,10274243,378.54,4/3/19 13:03,W,34,16,3017619
111200140,4/1/2019,2,10274244,561.78,4/3/19 13:03,W,55,22,3017620
111200150,4/1/2019,2,10274246,561.78,4/3/19 13:03,W,55,22,3017622
111200160,4/1/2019,2,10274247,210,4/3/19 13:03,W,11,4,3017623
111200210,4/1/2019,2,10274249,1146.65,4/3/19 13:03,W,100,37,3017625
111200230,4/1/2019,2,10274252,294.27,4/3/19 13:03,W,34,13,3017628
111200260,4/1/2019,2,10274254,1123.56,4/3/19 13:03,W,64,22,3017630
111200270,4/1/2019,2,10274255,378.54,4/3/19 13:03,W,35,16,3017631
111200290,4/1/2019,2,10274257,490.9,4/3/19 13:03,W,517,20,3017633
111200300,4/1/2019,2,10274259,526.34,4/3/19 13:03,W,289,21,3017635
111200301,4/1/2019,2,10274285,561.78,4/3/19 13:03,W,830,22,3017661
111200310,4/1/2019,2,10274258,597.22,4/3/19 13:03,W,62,23,3017634
111200311,4/1/2019,2,10274260,210,4/3/19 13:03,W,718,8,3017636
111200320,4/1/2019,2,10274261,210,4/3/19 13:03,W,22,8,3017637
111200330,4/1/2019,2,10274262,561.78,4/3/19 13:03,W,51,22,3017638
111200340,4/1/2019,2,10274263,210,4/3/19 13:03,W,27,9,3017639
111200350,4/1/2019,2,10274265,210,4/3/19 13:03,W,4,3,3017641
111200370,4/1/2019,2,10274266,322.36,4/3/19 13:03,W,38,14,3017642
111200380,4/1/2019,2,10274267,210,4/3/19 13:03,W,23,9,3017643
111200381,4/1/2019,2,10274268,1862.8,4/3/19 13:03,W,531,32,3017644
111200410,4/1/2019,2,10274270,238.09,4/3/19 13:03,W,33,11,3017646
111200420,4/1/2019,2,10274271,210,4/3/19 13:03,W,740,4,3017647
111200460,4/1/2019,2,10274273,210,4/3/19 13:03,W,1606,8,3017649
111200470,4/1/2019,2,10274275,210,4/3/19 13:03,W,27,10,3017651
111200480,4/1/2019,2,10274276,210,4/3/19 13:03,W,26,10,3017652
111200490,4/1/2019,2,10274277,210,4/3/19 13:03,W,22,8,3017653
111200500,4/1/2019,2,10274278,322.36,4/3/19 13:03,W,36,14,3017654
111200510,4/1/2019,2,10274279,238.09,4/3/19 13:03,W,29,11,3017655
111200540,4/1/2019,2,10274280,210,4/3/19 13:03,W,7,7,3017656
111200550,4/1/2019,2,10274282,210,4/3/19 13:03,W,20,7,3017658
111200560,4/1/2019,2,10274283,703.54,4/3/19 13:03,W,71,26,3017659
111200570,4/1/2019,2,10274284,210,4/3/19 13:03,W,14,6,3017660
111200590,4/1/2019,2,10274286,210,4/3/19 13:03,W,1915,10,3017662
111200600,4/1/2019,2,10274287,931.4,4/3/19 13:03,W,82,32,3017663
111200610,4/1/2019,2,10274289,561.78,4/3/19 13:03,W,53,22,3017665
111200620,4/1/2019,2,10274290,7706.84,4/3/19 13:03,W,430,172,3017666
111200630,4/1/2019,2,10274291,9119.72,4/3/19 13:03,W,460,201,3017667
111200640,4/1/2019,2,10274292,703.54,4/3/19 13:03,W,281,26,3017668
111200650,4/1/2019,2,10274293,462.81,4/3/19 13:03,W,48,19,3017669
111200660,4/1/2019,2,10274294,462.81,4/3/19 13:03,W,45,19,3017670
111200681,4/1/2019,2,10274296,526.34,4/3/19 13:03,W,52,21,3017672
111200700,4/1/2019,2,10274299,434.72,4/3/19 13:03,W,44,18,3017675
111200710,4/1/2019,2,10274300,210,4/3/19 13:03,W,347,6,3017676
111200730,4/1/2019,2,10274303,266.18,4/3/19 13:03,W,245,12,3017679
111200740,4/1/2019,2,10274304,210,4/3/19 13:03,W,22,7,3017680
111200760,4/1/2019,2,10274308,210,4/3/19 13:03,W,896,8,3017684
111200770,4/1/2019,2,10274311,406.63,4/3/19 13:03,W,356,17,3017687
111200780,4/1/2019,2,10274310,703.54,4/3/19 13:03,W,50,26,3017686
111200790,4/1/2019,2,10274313,597.22,4/3/19 13:03,W,384,23,3017689
111200800,4/1/2019,2,10274314,210,4/3/19 13:03,W,13,9,3017690
111200801,4/1/2019,2,10274387,2445.08,4/3/19 13:03,W,68,64,3017763
111200810,4/1/2019,2,10274316,526.34,4/3/19 13:03,W,334,21,3017692
111200820,4/1/2019,2,10274317,238.09,4/3/19 13:03,W,14,11,3017693
111200830,4/1/2019,2,10274318,210,4/3/19 13:03,W,32,8,3017694
111200840,4/1/2019,2,10274315,378.54,4/3/19 13:03,W,41,16,3017691
111200842,4/1/2019,2,10274319,210,4/3/19 13:03,W,7,4,3017695
111200850,4/1/2019,2,10274329,210,4/3/19 13:03,W,34,10,3017705
111200860,4/1/2019,2,10274328,322.36,4/3/19 13:03,W,37,14,3017704
111200870,4/1/2019,2,10274320,350.45,4/3/19 13:03,W,321,15,3017696
111200881,4/1/2019,2,10274321,210,4/3/19 13:03,W,583,9,3017697
111200882,4/1/2019,2,10274322,210,4/3/19 13:03,W,763,10,3017698
111200890,4/1/2019,2,10274325,210,4/3/19 13:03,W,15,6,3017701
111200900,4/1/2019,2,10274326,632.66,4/3/19 13:03,W,55,24,3017702
111200910,4/1/2019,2,10274327,888.35,4/3/19 13:03,W,995,31,3017703
111200920,4/1/2019,2,10274324,526.34,4/3/19 13:03,W,338,21,3017700
111200930,4/1/2019,2,10274323,597.22,4/3/19 13:03,W,53,23,3017699
111200930,4/1/2019,4,1577790,-480,4/1/19 13:54,W,,,3017486
111200931,4/1/2019,2,10274333,210,4/3/19 13:03,W,25,10,3017709
111200940,4/1/2019,2,10274353,350.45,4/3/19 13:03,W,33,15,3017729
111200950,4/1/2019,2,10274330,210,4/3/19 13:03,W,7,5,3017706
111200960,4/1/2019,2,10274331,238.09,4/3/19 13:03,W,26,11,3017707
111200961,4/1/2019,2,10274334,210,4/3/19 13:03,W,15,6,3017710
111200970,4/1/2019,2,10274335,350.45,4/3/19 13:03,W,38,15,3017711
111200980,4/1/2019,2,10274336,210,4/3/19 13:03,W,10,8,3017712
111200990,4/1/2019,2,10274337,210,4/3/19 13:03,W,19,8,3017713
111201020,4/1/2019,2,10274339,378.54,4/3/19 13:03,W,48,16,3017715
111201030,4/1/2019,2,10274340,210,4/3/19 13:03,W,26,10,3017716
111201060,4/1/2019,2,10274342,294.27,4/3/19 13:03,W,33,13,3017718
111201070,4/1/2019,2,10274343,378.54,4/3/19 13:03,W,36,16,3017719
111201080,4/1/2019,2,10274344,845.3,4/3/19 13:03,W,598,30,3017720
111201090,4/1/2019,2,10274345,632.66,4/3/19 13:03,W,58,24,3017721
111201100,4/1/2019,2,10274346,490.9,4/3/19 13:03,W,44,20,3017722
111201110,4/1/2019,2,10274347,406.63,4/3/19 13:03,W,41,17,3017723
111201120,4/1/2019,2,10274348,266.18,4/3/19 13:03,W,27,12,3017724
111201140,4/1/2019,2,10274349,266.18,4/3/19 13:03,W,33,12,3017725
111201741,4/1/2019,2,10274307,888.35,4/3/19 13:03,W,78,31,3017683
111201760,4/1/2019,2,10274354,294.27,4/3/19 13:03,W,320,13,3017730
111201780,4/1/2019,2,10274350,210,4/3/19 13:03,W,847,8,3017726
