Acct_No,Trans_Date,Ref_Code,Ref_no,Amount,Timestamp,Tag,Reading,Consumption,sequence
111200010,3/1/2019,2,10270886,367.5,3/4/19 11:25,W,11,5,3009460
111200030,3/1/2019,2,10270888,490.9,3/4/19 11:25,W,31,20,3009462
111200050,3/1/2019,2,10270889,490.9,3/4/19 11:25,W,37,20,3009463
111200060,3/1/2019,2,10270890,632.66,3/4/19 11:25,W,43,24,3009464
111200080,3/1/2019,2,10270891,888.35,3/4/19 11:25,W,50,31,3009465
111200090,3/1/2019,2,10270893,238.09,3/4/19 11:25,W,21,11,3009467
111200101,3/1/2019,2,10270894,561.78,3/4/19 11:25,W,39,22,3009468
111200110,3/1/2019,2,10270895,210,3/4/19 11:25,W,19,10,3009469
111200130,3/1/2019,2,10270896,210,3/4/19 11:25,W,18,10,3009470
111200140,3/1/2019,2,10270897,526.34,3/4/19 11:25,W,33,21,3009471
111200150,3/1/2019,2,10270899,490.9,3/4/19 11:25,W,33,20,3009473
111200160,3/1/2019,2,10270900,210,3/4/19 11:25,W,7,4,3009474
111200210,3/1/2019,2,10270902,1232.75,3/4/19 11:25,W,63,39,3009476
111200230,3/1/2019,2,10270905,266.18,3/4/19 11:25,W,21,12,3009479
111200260,3/1/2019,2,10270907,1194.44,3/4/19 11:25,W,42,23,3009481
111200270,3/1/2019,2,10270908,238.09,3/4/19 11:25,W,19,11,3009482
111200290,3/1/2019,2,10270910,526.34,3/4/19 11:25,W,497,21,3009484
111200300,3/1/2019,2,10270912,406.63,3/4/19 11:25,W,268,17,3009486
111200301,3/1/2019,2,10270937,490.9,3/4/19 11:25,W,808,20,3009511
111200310,3/1/2019,2,10270911,703.54,3/4/19 11:25,W,39,26,3009485
111200311,3/1/2019,2,10270913,210,3/4/19 11:25,W,710,5,3009487
111200320,3/1/2019,2,10270914,210,3/4/19 11:25,W,14,7,3009488
111200330,3/1/2019,2,10270915,406.63,3/4/19 11:25,W,29,17,3009489
111200340,3/1/2019,2,10270916,210,3/4/19 11:25,W,18,10,3009490
111200370,3/1/2019,2,10270918,378.54,3/4/19 11:25,W,24,16,3009492
111200380,3/1/2019,2,10270919,210,3/4/19 11:25,W,14,8,3009493
111200381,3/1/2019,2,10270920,1776.7,3/4/19 11:25,W,499,31,3009494
111200410,3/1/2019,2,10270922,322.36,3/4/19 11:25,W,22,14,3009496
111200420,3/1/2019,2,10270923,210,3/4/19 11:25,W,736,6,3009497
111200460,3/1/2019,2,10270925,322.36,3/4/19 11:25,W,1598,14,3009499
111200470,3/1/2019,2,10270927,210,3/4/19 11:25,W,17,10,3009501
111200480,3/1/2019,2,10270928,238.09,3/4/19 11:25,W,16,11,3009502
111200490,3/1/2019,2,10270929,210,3/4/19 11:25,W,14,7,3009503
111200500,3/1/2019,2,10270930,266.18,3/4/19 11:25,W,22,12,3009504
111200510,3/1/2019,2,10270931,238.09,3/4/19 11:25,W,18,11,3009505
111200540,3/1/2019,2,10270932,238.09,3/4/19 11:25,W,2112,11,3009506
111200550,3/1/2019,2,10270934,210,3/4/19 11:25,W,13,5,3009508
111200560,3/1/2019,2,10270935,809.86,3/4/19 11:25,W,45,29,3009509
111200570,3/1/2019,2,10270936,210,3/4/19 11:25,W,8,5,3009510
111200590,3/1/2019,2,10270938,210,3/4/19 11:25,W,1905,8,3009512
111200600,3/1/2019,2,10270939,931.4,3/4/19 11:25,W,50,32,3009513
111200610,3/1/2019,2,10270941,406.63,3/4/19 11:25,W,31,17,3009515
111200610,3/1/2019,4,1574488,-550.55,3/1/19 11:39,W,,,3009344
111200610,3/1/2019,14,1574488,-11.23,3/1/19 11:39,W,,,3009345
111200620,3/1/2019,2,10270942,6878.6,3/4/19 11:25,W,258,155,3009516
111200630,3/1/2019,2,10270943,6099.08,3/4/19 11:25,W,259,139,3009517
111200640,3/1/2019,2,10270944,561.78,3/4/19 11:25,W,255,22,3009518
111200640,3/1/2019,4,1574503,-550.54,3/1/19 14:50,W,,,3009361
111200640,3/1/2019,14,1574503,-11.24,3/1/19 14:50,W,,,3009362
111200650,3/1/2019,2,10270945,434.72,3/4/19 11:25,W,29,18,3009519
111200660,3/1/2019,2,10270946,350.45,3/4/19 11:25,W,26,15,3009520
111200681,3/1/2019,2,10270948,406.63,3/4/19 11:25,W,31,17,3009522
111200700,3/1/2019,2,10270951,350.45,3/4/19 11:25,W,26,15,3009525
111200710,3/1/2019,2,10270952,210,3/4/19 11:25,W,341,5,3009526
111200730,3/1/2019,2,10270955,238.09,3/4/19 11:25,W,233,11,3009529
111200740,3/1/2019,2,10270956,210,3/4/19 11:25,W,15,10,3009530
111200760,3/1/2019,2,10270960,210,3/4/19 11:25,W,888,6,3009534
111200770,3/1/2019,2,10270963,238.09,3/4/19 11:25,W,339,11,3009537
111200780,3/1/2019,2,10270962,378.54,3/4/19 11:25,W,24,16,3009536
111200790,3/1/2019,2,10270965,434.72,3/4/19 11:25,W,361,18,3009539
111200800,3/1/2019,2,10270966,210,3/4/19 11:25,W,1757,6,3009540
111200801,3/1/2019,2,10271040,378.54,3/4/19 11:25,W,3204,16,3009614
111200810,3/1/2019,2,10270968,378.54,3/4/19 11:25,W,313,16,3009542
111200820,3/1/2019,2,10270969,210,3/4/19 11:25,W,1126,9,3009543
111200830,3/1/2019,2,10270970,294.27,3/4/19 11:25,W,24,13,3009544
111200840,3/1/2019,2,10270967,350.45,3/4/19 11:25,W,25,15,3009541
111200842,3/1/2019,2,10270971,210,3/4/19 11:25,W,1174,4,3009545
111200850,3/1/2019,2,10270981,378.54,3/4/19 11:25,W,24,16,3009555
111200860,3/1/2019,2,10270980,322.36,3/4/19 11:25,W,23,14,3009554
111200870,3/1/2019,2,10270972,406.63,3/4/19 11:25,W,306,17,3009546
111200881,3/1/2019,2,10270973,238.09,3/4/19 11:25,W,574,11,3009547
111200882,3/1/2019,2,10270974,210,3/4/19 11:25,W,753,7,3009548
111200890,3/1/2019,2,10270977,210,3/4/19 11:25,W,9,5,3009551
111200900,3/1/2019,2,10270978,462.81,3/4/19 11:25,W,31,19,3009552
111200910,3/1/2019,2,10270979,462.81,3/4/19 11:25,W,964,19,3009553
111200920,3/1/2019,2,10270976,266.18,3/4/19 11:25,W,317,12,3009550
111200930,3/1/2019,2,10270975,434.72,3/4/19 11:25,W,30,18,3009549
111200931,3/1/2019,2,10270985,210,3/4/19 11:25,W,15,9,3009559
111200940,3/1/2019,2,10271006,238.09,3/4/19 11:25,W,18,11,3009580
111200950,3/1/2019,2,10270982,210,3/4/19 11:25,W,1126,4,3009556
111200960,3/1/2019,2,10270983,210,3/4/19 11:25,W,15,8,3009557
111200961,3/1/2019,2,10270986,210,3/4/19 11:25,W,9,5,3009560
111200970,3/1/2019,2,10270987,322.36,3/4/19 11:25,W,23,14,3009561
111200980,3/1/2019,2,10270988,210,3/4/19 11:25,W,1355,7,3009562
111200990,3/1/2019,2,10270989,210,3/4/19 11:25,W,11,7,3009563
111201020,3/1/2019,2,10270992,490.9,3/4/19 11:25,W,32,20,3009566
111201030,3/1/2019,2,10270993,210,3/4/19 11:25,W,16,8,3009567
111201040,3/1/2019,2,10270990,210,3/4/19 11:25,W,2094,1,3009564
111201060,3/1/2019,2,10270995,294.27,3/4/19 11:25,W,20,13,3009569
111201070,3/1/2019,2,10270996,322.36,3/4/19 11:25,W,20,14,3009570
111201080,3/1/2019,2,10270997,738.98,3/4/19 11:25,W,568,27,3009571
111201090,3/1/2019,2,10270998,561.78,3/4/19 11:25,W,34,22,3009572
111201100,3/1/2019,2,10270999,350.45,3/4/19 11:25,W,24,15,3009573
111201110,3/1/2019,2,10271000,350.45,3/4/19 11:25,W,24,15,3009574
111201120,3/1/2019,2,10271001,210,3/4/19 11:25,W,15,8,3009575
111201140,3/1/2019,2,10271002,322.36,3/4/19 11:25,W,21,14,3009576
111201741,3/1/2019,2,10270959,774.42,3/4/19 11:25,W,47,28,3009533
111201760,3/1/2019,2,10271007,238.09,3/4/19 11:25,W,307,11,3009581
111201780,3/1/2019,2,10271003,210,3/4/19 11:25,W,839,6,3009577
111201790,3/1/2019,2,10271004,266.18,3/4/19 11:25,W,18,12,3009578
111201820,3/1/2019,2,10271005,210,3/4/19 11:25,W,2405,9,3009579
111201840,3/1/2019,2,10271008,210,3/4/19 11:25,W,15,8,3009582
111201860,3/1/2019,2,10271009,322.36,3/4/19 11:25,W,629,14,3009583
111201890,3/1/2019,2,10271010,210,3/4/19 11:25,W,8,4,3009584
111201920,3/1/2019,2,10271011,561.78,3/4/19 11:25,W,985,22,3009585
111202060,3/1/2019,2,10271014,561.78,3/4/19 11:25,W,1795,22,3009588
111202100,3/1/2019,2,10271015,210,3/4/19 11:25,W,114,8,3009589
111202110,3/1/2019,2,10271018,1017.5,3/4/19 11:25,W,597,34,3009592
111202140,3/1/2019,2,10271019,238.09,3/4/19 11:25,W,819,11,3009593
111202150,3/1/2019,2,10271022,406.63,3/4/19 11:25,W,1163,17,3009596
111202180,3/1/2019,2,10271023,350.45,3/4/19 11:25,W,906,15,3009597
111202210,3/1/2019,2,10271024,561.78,3/4/19 11:25,W,830,22,3009598
111202220,3/1/2019,2,10271025,294.27,3/4/19 11:25,W,818,13,3009599
111202270,3/1/2019,2,10271027,597.22,3/4/19 11:25,W,369,23,3009601
111202300,3/1/2019,2,10271029,210,3/4/19 11:25,W,7,4,3009603
111202310,3/1/2019,2,10271030,406.63,3/4/19 11:25,W,29,17,3009604
111202340,3/1/2019,2,10271031,406.63,3/4/19 11:25,W,27,17,3009605
111202360,3/1/2019,2,10271032,210,3/4/19 11:25,W,599,4,3009606
111202370,3/1/2019,2,10271033,210,3/4/19 11:25,W,16,8,3009607
111202400,3/1/2019,2,10271034,210,3/4/19 11:25,W,12,7,3009608
111202440,3/1/2019,2,10271035,210,3/4/19 11:25,W,13,8,3009609
111202470,3/1/2019,2,10271037,210,3/4/19 11:25,W,9,7,3009611
111202540,3/1/2019,2,10271039,210,3/4/19 11:25,W,10,5,3009613
111202550,3/1/2019,2,10271041,266.18,3/4/19 11:25,W,540,12,3009615
111202560,3/1/2019,2,10271042,294.27,3/4/19 11:25,W,21,13,3009616
111202580,3/1/2019,2,10271043,597.22,3/4/19 11:25,W,537,23,3009617
111202600,3/1/2019,2,10271044,238.09,3/4/19 11:25,W,776,11,3009618
111202620,3/1/2019,2,10271046,210,3/4/19 11:25,W,771,10,3009620
111202650,3/1/2019,2,10271054,210,3/4/19 11:25,W,13,8,3009628
111202670,3/1/2019,2,10271047,703.54,3/4/19 11:25,W,450,26,3009621
111202840,3/1/2019,2,10271055,526.34,3/4/19 11:25,W,34,21,3009629
111202860,3/1/2019,2,10271056,294.27,3/4/19 11:25,W,447,13,3009630
111202880,3/1/2019,2,10271057,490.9,3/4/19 11:25,W,761,20,3009631
111202894,3/1/2019,2,10271058,210,3/4/19 11:25,W,862,8,3009632
111202900,3/1/2019,2,10271059,1232.75,3/4/19 11:25,W,65,39,3009633
111202920,3/1/2019,2,10271060,322.36,3/4/19 11:25,W,26,14,3009634
111202940,3/1/2019,2,10271061,350.45,3/4/19 11:25,W,262,15,3009635
111202980,3/1/2019,2,10271062,462.81,3/4/19 11:25,W,443,19,3009636
111203000,3/1/2019,2,10271063,210,3/4/19 11:25,W,957,8,3009637
111203020,3/1/2019,2,10271064,238.09,3/4/19 11:25,W,2050,11,3009638
111203040,3/1/2019,2,10271066,210,3/4/19 11:25,W,1633,7,3009640
111203060,3/1/2019,2,10271067,294.27,3/4/19 11:25,W,2242,13,3009641
111203120,3/1/2019,2,10271117,434.72,3/4/19 11:25,W,25,18,3009691
111203140,3/1/2019,2,10271069,266.18,3/4/19 11:25,W,323,12,3009643
111203150,3/1/2019,2,10271099,367.5,3/4/19 11:25,W,13,9,3009673
