Acct_No,Trans_Date,Ref_Code,Ref_no,Amount,Timestamp,Tag,Reading,Consumption,sequence
111200010,5/1/2019,2,10277576,367.5,5/2/19 16:08,W,23,7,3025516
111200030,5/1/2019,2,10277578,406.63,5/2/19 16:08,W,67,17,3025518
111200050,5/1/2019,2,10277579,210,5/2/19 16:08,W,56,9,3025519
111200060,5/1/2019,2,10277580,703.54,5/2/19 16:08,W,100,26,3025520
111200080,5/1/2019,2,10277581,406.63,5/2/19 16:08,W,93,17,3025521
111200090,5/1/2019,2,10277583,210,5/2/19 16:08,W,34,5,3025523
111200110,5/1/2019,2,10277584,238.09,5/2/19 16:08,W,42,11,3025524
111200130,5/1/2019,2,10277585,210,5/2/19 16:08,W,37,3,3025525
111200140,5/1/2019,2,10277586,490.9,5/2/19 16:08,W,75,20,3025526
111200150,5/1/2019,2,10277591,561.78,5/2/19 16:08,W,77,22,3025531
111200160,5/1/2019,2,10277592,210,5/2/19 16:08,W,14,3,3025532
111200210,5/1/2019,2,10277594,1811.72,5/2/19 16:08,W,151,51,3025534
111200230,5/1/2019,2,10277597,210,5/2/19 16:08,W,43,9,3025537
111200260,5/1/2019,2,10277599,1123.56,5/2/19 16:08,W,86,22,3025539
111200270,5/1/2019,2,10277600,322.36,5/2/19 16:08,W,49,14,3025540
111200290,5/1/2019,2,10277602,462.81,5/2/19 16:08,W,536,19,3025542
111200300,5/1/2019,2,10277604,597.22,5/2/19 16:08,W,312,23,3025544
111200301,5/1/2019,2,10277630,350.45,5/2/19 16:08,W,845,15,3025570
111200310,5/1/2019,2,10277603,322.36,5/2/19 16:08,W,76,14,3025543
111200311,5/1/2019,2,10277605,210,5/2/19 16:08,W,725,7,3025545
111200320,5/1/2019,2,10277606,210,5/2/19 16:08,W,29,7,3025546
111200330,5/1/2019,2,10277607,526.34,5/2/19 16:08,W,72,21,3025547
111200340,5/1/2019,2,10277608,210,5/2/19 16:08,W,32,5,3025548
111200350,5/1/2019,2,10277610,210,5/2/19 16:08,W,11,7,3025550
111200370,5/1/2019,2,10277611,238.09,5/2/19 16:08,W,49,11,3025551
111200380,5/1/2019,2,10277612,210,5/2/19 16:08,W,31,8,3025552
111200381,5/1/2019,2,10277613,1548.84,5/2/19 16:08,W,559,28,3025553
111200410,5/1/2019,2,10277615,322.36,5/2/19 16:08,W,47,14,3025555
111200420,5/1/2019,2,10277616,210,5/2/19 16:08,W,743,3,3025556
111200460,5/1/2019,2,10277618,210,5/2/19 16:08,W,1609,3,3025558
111200470,5/1/2019,2,10277620,266.18,5/2/19 16:08,W,39,12,3025560
111200480,5/1/2019,2,10277621,322.36,5/2/19 16:08,W,40,14,3025561
111200490,5/1/2019,2,10277622,210,5/2/19 16:08,W,30,8,3025562
111200500,5/1/2019,2,10277623,210,5/2/19 16:08,W,46,10,3025563
111200510,5/1/2019,2,10277624,210,5/2/19 16:08,W,39,10,3025564
111200540,5/1/2019,2,10277625,210,5/2/19 16:08,W,12,5,3025565
111200550,5/1/2019,2,10277627,210,5/2/19 16:08,W,21,1,3025567
111200560,5/1/2019,2,10277628,668.1,5/2/19 16:08,W,96,25,3025568
111200570,5/1/2019,2,10277629,210,5/2/19 16:08,W,20,6,3025569
111200590,5/1/2019,2,10277631,322.36,5/2/19 16:08,W,1929,14,3025571
111200600,5/1/2019,2,10277632,1146.65,5/2/19 16:08,W,119,37,3025572
111200610,5/1/2019,2,10277634,526.34,5/2/19 16:08,W,74,21,3025574
111200620,5/1/2019,2,10277635,7024.76,5/2/19 16:08,W,588,158,3025575
111200630,5/1/2019,2,10277636,7414.52,5/2/19 16:08,W,626,166,3025576
111200640,5/1/2019,2,10277637,350.45,5/2/19 16:08,W,296,15,3025577
111200650,5/1/2019,2,10277638,462.81,5/2/19 16:08,W,67,19,3025578
111200660,5/1/2019,2,10277639,462.81,5/2/19 16:08,W,64,19,3025579
111200681,5/1/2019,2,10277641,462.81,5/2/19 16:08,W,71,19,3025581
111200700,5/1/2019,2,10277644,434.72,5/2/19 16:08,W,62,18,3025584
111200710,5/1/2019,2,10277645,210,5/2/19 16:08,W,353,6,3025585
111200730,5/1/2019,2,10277648,350.45,5/2/19 16:08,W,260,15,3025588
111200740,5/1/2019,2,10277649,210,5/2/19 16:08,W,27,5,3025589
111200760,5/1/2019,2,10277653,210,5/2/19 16:08,W,904,8,3025593
111200770,5/1/2019,2,10277656,378.54,5/2/19 16:08,W,372,16,3025596
111200780,5/1/2019,2,10277655,322.36,5/2/19 16:08,W,64,14,3025595
111200790,5/1/2019,2,10277658,597.22,5/2/19 16:08,W,407,23,3025598
111200800,5/1/2019,2,10277659,210,5/2/19 16:08,W,23,10,3025599
111200801,5/1/2019,2,10277732,378.54,5/2/19 16:08,W,84,16,3025672
111200810,5/1/2019,2,10277661,526.34,5/2/19 16:08,W,355,21,3025601
111200820,5/1/2019,2,10277662,210,5/2/19 16:08,W,15,1,3025602
111200830,5/1/2019,2,10277663,266.18,5/2/19 16:08,W,44,12,3025603
111200840,5/1/2019,2,10277660,350.45,5/2/19 16:08,W,56,15,3025600
111200842,5/1/2019,2,10277664,210,5/2/19 16:08,W,12,5,3025604
111200850,5/1/2019,2,10277674,974.45,5/2/19 16:08,W,67,33,3025614
111200860,5/1/2019,2,10277673,378.54,5/2/19 16:08,W,53,16,3025613
111200870,5/1/2019,2,10277665,322.36,5/2/19 16:08,W,335,14,3025605
111200881,5/1/2019,2,10277666,210,5/2/19 16:08,W,592,9,3025606
111200882,5/1/2019,2,10277667,378.54,5/2/19 16:08,W,779,16,3025607
111200890,5/1/2019,2,10277670,210,5/2/19 16:08,W,19,4,3025610
111200900,5/1/2019,2,10277671,632.66,5/2/19 16:08,W,79,24,3025611
111200910,5/1/2019,2,10277672,1616.84,5/2/19 16:08,W,1042,47,3025612
111200920,5/1/2019,2,10277669,703.54,5/2/19 16:08,W,364,26,3025609
111200930,5/1/2019,2,10277668,561.78,5/2/19 16:08,W,75,22,3025608
111200931,5/1/2019,2,10277678,210,5/2/19 16:08,W,33,8,3025618
111200940,5/1/2019,2,10277698,350.45,5/2/19 16:08,W,48,15,3025638
111200950,5/1/2019,2,10277675,210,5/2/19 16:08,W,14,7,3025615
111200960,5/1/2019,2,10277676,406.63,5/2/19 16:08,W,43,17,3025616
111200961,5/1/2019,2,10277679,210,5/2/19 16:08,W,19,4,3025619
111200970,5/1/2019,2,10277680,238.09,5/2/19 16:08,W,49,11,3025620
111200980,5/1/2019,2,10277681,210,5/2/19 16:08,W,13,3,3025621
111200990,5/1/2019,2,10277682,210,5/2/19 16:08,W,26,7,3025622
111201020,5/1/2019,2,10277684,378.54,5/2/19 16:08,W,64,16,3025624
111201030,5/1/2019,2,10277685,210,5/2/19 16:08,W,35,9,3025625
111201060,5/1/2019,2,10277687,350.45,5/2/19 16:08,W,48,15,3025627
111201070,5/1/2019,2,10277688,350.45,5/2/19 16:08,W,51,15,3025628
111201080,5/1/2019,2,10277689,888.35,5/2/19 16:08,W,629,31,3025629
111201090,5/1/2019,2,10277690,597.22,5/2/19 16:08,W,81,23,3025630
111201100,5/1/2019,2,10277691,526.34,5/2/19 16:08,W,65,21,3025631
111201110,5/1/2019,2,10277692,378.54,5/2/19 16:08,W,57,16,3025632
111201120,5/1/2019,2,10277693,210,5/2/19 16:08,W,32,5,3025633
111201140,5/1/2019,2,10277694,238.09,5/2/19 16:08,W,44,11,3025634
111201741,5/1/2019,2,10277652,809.86,5/2/19 16:08,W,107,29,3025592
111201760,5/1/2019,2,10277699,210,5/2/19 16:08,W,328,8,3025639
111201780,5/1/2019,2,10277695,210,5/2/19 16:08,W,856,9,3025635
111201790,5/1/2019,2,10277696,378.54,5/2/19 16:08,W,52,16,3025636
111201820,5/1/2019,2,10277697,238.09,5/2/19 16:08,W,2425,11,3025637
111201840,5/1/2019,2,10277700,266.18,5/2/19 16:08,W,40,12,3025640
111201860,5/1/2019,2,10277701,210,5/2/19 16:08,W,652,9,3025641
111201890,5/1/2019,2,10277702,210,5/2/19 16:08,W,25,8,3025642
111201920,5/1/2019,2,10277703,632.66,5/2/19 16:08,W,1032,24,3025643
111202060,5/1/2019,2,10277706,434.72,5/2/19 16:08,W,45,18,3025646
111202100,5/1/2019,2,10277707,210,5/2/19 16:08,W,132,9,3025647
111202110,5/1/2019,2,10277710,1103.6,5/2/19 16:08,W,679,36,3025650
111202140,5/1/2019,2,10277711,238.09,5/2/19 16:08,W,844,11,3025651
111202150,5/1/2019,2,10277714,526.34,5/2/19 16:08,W,1205,21,3025654
111202180,5/1/2019,2,10277715,266.18,5/2/19 16:08,W,929,12,3025655
111202210,5/1/2019,2,10277716,294.27,5/2/19 16:08,W,845,13,3025656
111202220,5/1/2019,2,10277717,526.34,5/2/19 16:08,W,870,21,3025657
111202270,5/1/2019,2,10277719,597.22,5/2/19 16:08,W,417,23,3025659
111202300,5/1/2019,2,10277721,210,5/2/19 16:08,W,20,6,3025661
111202310,5/1/2019,2,10277722,210,5/2/19 16:08,W,52,9,3025662
111202340,5/1/2019,2,10277723,406.63,5/2/19 16:08,W,64,17,3025663
111202360,5/1/2019,2,10277724,210,5/2/19 16:08,W,607,4,3025664
111202370,5/1/2019,2,10277725,266.18,5/2/19 16:08,W,39,12,3025665
111202400,5/1/2019,2,10277726,210,5/2/19 16:08,W,31,8,3025666
111202440,5/1/2019,2,10277727,210,5/2/19 16:08,W,26,5,3025667
111202470,5/1/2019,2,10277729,561.78,5/2/19 16:08,W,39,22,3025669
111202540,5/1/2019,2,10277731,210,5/2/19 16:08,W,21,5,3025671
111202550,5/1/2019,2,10277733,406.63,5/2/19 16:08,W,572,17,3025673
111202560,5/1/2019,2,10277734,210,5/2/19 16:08,W,45,10,3025674
111202580,5/1/2019,2,10277735,1146.65,5/2/19 16:08,W,608,37,3025675
111202600,5/1/2019,2,10277736,210,5/2/19 16:08,W,799,10,3025676
111202620,5/1/2019,2,10277738,266.18,5/2/19 16:08,W,799,12,3025678
111202650,5/1/2019,2,10277746,210,5/2/19 16:08,W,24,6,3025686
111202670,5/1/2019,2,10277739,632.66,5/2/19 16:08,W,503,24,3025679
111202840,5/1/2019,2,10277747,632.66,5/2/19 16:08,W,81,24,3025687
111202860,5/1/2019,2,10277748,350.45,5/2/19 16:08,W,477,15,3025688
111202880,5/1/2019,2,10277749,668.1,5/2/19 16:08,W,811,25,3025689
111202894,5/1/2019,2,10277750,210,5/2/19 16:08,W,876,6,3025690
111202900,5/1/2019,2,10277751,1568.12,5/2/19 16:08,W,155,46,3025691
111202920,5/1/2019,2,10277752,266.18,5/2/19 16:08,W,57,12,3025692
111202940,5/1/2019,2,10277753,266.18,5/2/19 16:08,W,288,12,3025693
111202980,5/1/2019,2,10277754,462.81,5/2/19 16:08,W,481,19,3025694
111203000,5/1/2019,2,10277755,210,5/2/19 16:08,W,970,4,3025695
111203020,5/1/2019,2,10277756,632.66,5/2/19 16:08,W,41,24,3025696
111203040,5/1/2019,2,10277757,210,5/2/19 16:08,W,23,9,3025697
111203060,5/1/2019,2,10277758,210,5/2/19 16:08,W,23,8,3025698
111203120,5/1/2019,2,10277809,632.66,5/2/19 16:08,W,68,24,3025749
111203140,5/1/2019,2,10277760,238.09,5/2/19 16:08,W,346,11,3025700
111203150,5/1/2019,2,10277790,367.5,5/2/19 16:08,W,31,10,3025730
111203160,5/1/2019,2,10277907,1948.9,5/2/19 16:08,W,532,33,3025847
111203170,5/1/2019,2,10277654,322.36,5/2/19 16:08,W,52,14,3025594
111203180,5/1/2019,2,10277651,322.36,5/2/19 16:08,W,26,14,3025591
111203190,5/1/2019,2,10277677,210,5/2/19 16:08,W,993,6,3025617
111203200,5/1/2019,2,10277861,416.64,5/2/19 16:08,W,386,11,3025801
111203210,5/1/2019,2,10277868,420,5/2/19 16:08,W,37,10,3025808
111203240,5/1/2019,2,10277763,888.35,5/2/19 16:08,W,692,31,3025703
111203250,5/1/2019,2,10277808,210,5/2/19 16:08,W,63,9,3025748
111203280,5/1/2019,2,10277745,238.09,5/2/19 16:08,W,38,11,3025685
111203310,5/1/2019,2,10277905,367.5,5/2/19 16:08,W,329,3,3025845
111203311,5/1/2019,2,10277709,266.18,5/2/19 16:08,W,31,12,3025649
111203312,5/1/2019,2,10277740,406.63,5/2/19 16:08,W,984,17,3025680
111203316,5/1/2019,2,10277911,420,5/2/19 16:08,W,18,3,3025851
111203900,5/1/2019,2,10277784,406.63,5/2/19 16:08,W,277,17,3025724
111203940,5/1/2019,2,10277785,490.9,5/2/19 16:08,W,306,20,3025725
111203960,5/1/2019,2,10277786,736.1,5/2/19 16:08,W,76,20,3025726
111203961,5/1/2019,2,10277787,210,5/2/19 16:08,W,18,7,3025727
111204180,5/1/2019,2,10277792,210,5/2/19 16:08,W,981,5,3025732
111204200,5/1/2019,2,10277793,294.27,5/2/19 16:08,W,77,13,3025733
111204280,5/1/2019,2,10277796,378.54,5/2/19 16:08,W,449,16,3025736
