MR_Sys_No,Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption,Rdg_Adj,ChngdMtr_Adj,ChngdMtr_Cons,MR_Status,Remarks,Emp_ID,Time_stamp,User_ID,midentity
348036,111200010,2011-1100498,12/1/2018,1/1/2019,1437,1464,27,0,0,0,2,,0,1/3/19 9:25,WIN,1960537
348037,111200030,101021198,12/1/2018,1/1/2019,2040,2058,18,0,0,0,2,,0,1/3/19 9:25,WIN,1960538
348038,111200050,60103741,12/1/2018,1/1/2019,1600,1608,8,0,0,0,2,,0,1/3/19 9:25,WIN,1960539
348039,111200060,1027,12/1/2018,1/1/2019,1458,1497,39,0,0,0,2,,0,1/3/19 9:25,WIN,1960540
348040,111200080,1101065,12/1/2018,1/1/2019,1543,1559,16,0,0,0,2,,0,1/3/19 9:25,WIN,1960541
348041,111200090,2612,12/1/2018,1/1/2019,957,967,10,0,0,0,2,,0,1/3/19 9:25,WIN,1960542
348042,111200101,70305042,12/1/2018,1/1/2019,1294,1322,28,0,0,0,2,,0,1/3/19 9:25,WIN,1960543
348043,111200110,112103989,12/1/2018,1/1/2019,1231,1242,11,0,0,0,2,,0,1/3/19 9:25,WIN,1960544
348044,111200130,4240153,12/1/2018,1/1/2019,1276,1289,13,0,0,0,2,,0,1/3/19 9:25,WIN,1960545
348045,111200140,1101756,12/1/2018,1/1/2019,1453,1471,18,0,0,0,2,,0,1/3/19 9:25,WIN,1960546
348046,111200150,1102644,12/1/2018,1/1/2019,1797,1825,28,0,0,0,2,,0,1/3/19 9:25,WIN,1960547
348047,111200160,80802014,12/1/2018,1/1/2019,1673,1680,7,0,0,0,2,,0,1/3/19 9:25,WIN,1960548
348048,111200210,4240047,12/1/2018,1/1/2019,3129,3157,28,0,0,0,2,,0,1/3/19 9:25,WIN,1960549
348049,111200230,990825863,12/1/2018,1/1/2019,3023,3034,11,0,0,0,2,,0,1/3/19 9:25,WIN,1960550
348050,111200260,4240177,12/1/2018,1/1/2019,2874,2886,12,0,0,0,2,,0,1/3/19 9:25,WIN,1960551
348051,111200270,2205058,12/1/2018,1/1/2019,1889,1898,9,0,0,0,2,,0,1/3/19 9:25,WIN,1960552
348052,111200290,17NB023598,12/1/2018,1/1/2019,419,446,27,0,0,0,2,,0,1/3/19 9:25,WIN,1960553
348053,111200300,17NB023599,12/1/2018,1/1/2019,221,235,14,0,0,0,2,,0,1/3/19 9:25,WIN,1960554
348054,111200301,150202883,12/1/2018,1/1/2019,731,761,30,0,0,0,2,,0,1/3/19 9:25,WIN,1960555
348055,111200310,4240167,12/1/2018,1/1/2019,1895,1907,12,0,0,0,2,,0,1/3/19 9:25,WIN,1960556
348056,111200311,2415,12/1/2018,1/1/2019,690,699,9,0,0,0,2,,0,1/3/19 9:25,WIN,1960557
348057,111200320,20981400,12/1/2018,1/1/2019,1568,1577,9,0,0,0,2,,0,1/3/19 9:25,WIN,1960558
348058,111200330,1102006,12/1/2018,1/1/2019,1263,1284,21,0,0,0,2,,0,1/3/19 9:25,WIN,1960559
348059,111200340,90613169,12/1/2018,1/1/2019,2555,2568,13,0,0,0,2,,0,1/3/19 9:25,WIN,1960560
348060,111200350,39533,12/1/2018,1/1/2019,1016,1017,1,0,0,0,2,,0,1/3/19 9:25,WIN,1960561
348061,111200370,4240194,12/1/2018,1/1/2019,1387,1401,14,0,0,0,2,,0,1/3/19 9:25,WIN,1960562
348062,111200380,2072874300,12/1/2018,1/1/2019,1911,1923,12,0,0,0,2,,0,1/3/19 9:25,WIN,1960563
348063,111200381,07NB023600,12/1/2018,1/1/2019,417,435,18,0,0,0,2,,0,1/3/19 9:25,WIN,1960564
348064,111200410,40216724,12/1/2018,1/1/2019,2505,2523,18,0,0,0,2,,0,1/3/19 9:25,WIN,1960565
348065,111200420,90270838,12/1/2018,1/1/2019,721,725,4,0,0,0,2,,0,1/3/19 9:25,WIN,1960566
348067,111200460,90271268,12/1/2018,1/1/2019,1562,1571,9,0,0,0,2,,0,1/3/19 9:25,WIN,1960568
348068,111200470,90270879,12/1/2018,1/1/2019,1672,1683,11,0,0,0,2,,0,1/3/19 9:25,WIN,1960569
348069,111200480,90271115,12/1/2018,1/1/2019,1257,1271,14,0,0,0,2,,0,1/3/19 9:25,WIN,1960570
348070,111200490,90270875,12/1/2018,1/1/2019,1150,1160,10,0,0,0,2,,0,1/3/19 9:25,WIN,1960571
348071,111200500,90271232,12/1/2018,1/1/2019,1801,1827,26,0,0,0,2,,0,1/3/19 9:25,WIN,1960572
348072,111200510,90412,12/1/2018,1/1/2019,2886,2889,3,0,0,0,2,,0,1/3/19 9:25,WIN,1960573
348073,111200540,40217541,12/1/2018,1/1/2019,2075,2088,13,0,0,0,2,,0,1/3/19 9:25,WIN,1960574
348074,111200550,90271100,12/1/2018,1/1/2019,1095,1103,8,0,0,0,2,,0,1/3/19 9:25,WIN,1960575
348075,111200560,1001956,12/1/2018,1/1/2019,2662,2686,24,0,0,0,2,,0,1/3/19 9:25,WIN,1960576
348076,111200570,20041108057,12/1/2018,1/1/2019,1616,1627,11,0,0,0,2,,0,1/3/19 9:25,WIN,1960577
348077,111200580,101023549,12/1/2018,1/1/2019,2731,2732,1,0,0,0,2,,0,1/3/19 9:25,WIN,1960578
348078,111200590,80601272,12/1/2018,1/1/2019,1876,1888,12,0,0,0,2,,0,1/3/19 9:25,WIN,1960579
348079,111200600,90270857,12/1/2018,1/1/2019,1851,1888,37,0,0,0,2,,0,1/3/19 9:25,WIN,1960580
348080,111200610,1002600,12/1/2018,1/1/2019,1703,1728,25,0,0,0,2,,0,1/3/19 9:25,WIN,1960581
348081,111200620,17NB026986,12/1/2018,1/1/2019,1826,1979,153,0,0,0,2,,0,1/3/19 9:25,WIN,1960582
348082,111200630,87077298,12/1/2018,1/1/2019,3177,3322,145,0,0,0,2,,0,1/3/19 9:25,WIN,1960583
348083,111200640,17NB044800,12/1/2018,1/1/2019,189,211,22,0,0,0,2,,0,1/3/19 9:25,WIN,1960584
348084,111200650,2303,12/1/2018,1/1/2019,1459,1482,23,0,0,0,2,,0,1/3/19 9:25,WIN,1960585
348085,111200660,20728637,12/1/2018,1/1/2019,3199,3216,17,0,0,0,2,,0,1/3/19 9:25,WIN,1960586
348086,111200681,4220214,12/1/2018,1/1/2019,1677,1701,24,0,0,0,2,,0,1/3/19 9:25,WIN,1960587
348087,111200700,4220129,12/1/2018,1/1/2019,1454,1472,18,0,0,0,2,,0,1/3/19 9:25,WIN,1960588
348088,111200710,160870330,12/1/2018,1/1/2019,323,329,6,0,0,0,2,,0,1/3/19 9:25,WIN,1960589
348089,111200730,17NB044803,12/1/2018,1/1/2019,196,210,14,0,0,0,2,,0,1/3/19 9:25,WIN,1960590
348090,111200740,990612356,12/1/2018,1/1/2019,2894,2900,6,0,0,0,2,,0,1/3/19 9:25,WIN,1960591
348091,111200760,4220218,12/1/2018,1/1/2019,868,876,8,0,0,0,2,,0,1/3/19 9:25,WIN,1960592
348092,111200770,17NB023592,12/1/2018,1/1/2019,303,317,14,0,0,0,2,,0,1/3/19 9:25,WIN,1960593
348093,111200780,4220124,12/1/2018,1/1/2019,1390,1406,16,0,0,0,2,,0,1/3/19 9:25,WIN,1960594
