MR_Sys_No,Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption,Rdg_Adj,ChngdMtr_Adj,ChngdMtr_Cons,MR_Status,Remarks,Emp_ID,Time_stamp,User_ID,midentity
358162,111200010,ED-18-15-01591,3/1/2019,4/1/2019,11,16,5,0,0,0,2,,0,4/2/19 13:02,WIN,1970663
359527,111200020,ED-18-15-10054,3/4/2019,4/4/2019,14,27,13,0,0,0,2,,0,4/8/19 8:20,WIN,1972028
358163,111200030,ED-18-15-01589,3/1/2019,4/1/2019,31,50,19,0,0,0,2,,0,4/2/19 13:02,WIN,1970664
358164,111200050,ED-18-15-01593,3/1/2019,4/1/2019,37,47,10,0,0,0,2,,0,4/2/19 13:02,WIN,1970665
358165,111200060,ED-18-15-01595,3/1/2019,4/1/2019,43,74,31,0,0,0,2,,0,4/2/19 13:02,WIN,1970666
358166,111200080,ED-18-15-01592,3/1/2019,4/1/2019,50,76,26,0,0,0,2,,0,4/2/19 13:02,WIN,1970667
358167,111200090,ED-18-15-01594,3/1/2019,4/1/2019,21,29,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970668
358169,111200110,ED-18-15-01680,3/1/2019,4/1/2019,19,31,12,0,0,0,2,,0,4/2/19 13:02,WIN,1970670
358170,111200130,ED-18-15-01596,3/1/2019,4/1/2019,18,34,16,0,0,0,2,,0,4/2/19 13:02,WIN,1970671
358171,111200140,ED-18-15-01607,3/1/2019,4/1/2019,33,55,22,0,0,0,2,,0,4/2/19 13:02,WIN,1970672
358172,111200150,ED-18-15-01597,3/1/2019,4/1/2019,33,55,22,0,0,0,2,,0,4/2/19 13:02,WIN,1970673
358173,111200160,ED-18-15-01352,3/1/2019,4/1/2019,7,11,4,0,0,0,2,,0,4/2/19 13:02,WIN,1970674
358174,111200210,ED-18-15-01351,3/1/2019,4/1/2019,63,100,37,0,0,0,2,,0,4/2/19 13:02,WIN,1970675
358175,111200230,ED-18-15-01608,3/1/2019,4/1/2019,21,34,13,0,0,0,2,,0,4/2/19 13:02,WIN,1970676
358176,111200260,ED-18-15-01575,3/1/2019,4/1/2019,42,64,22,0,0,0,2,,0,4/2/19 13:02,WIN,1970677
358177,111200270,ED-18-15-01571,3/1/2019,4/1/2019,19,35,16,0,0,0,2,,0,4/2/19 13:02,WIN,1970678
358178,111200290,17NB023598,3/1/2019,4/1/2019,497,517,20,0,0,0,2,,0,4/2/19 13:02,WIN,1970679
358179,111200300,17NB023599,3/1/2019,4/1/2019,268,289,21,0,0,0,2,,0,4/2/19 13:02,WIN,1970680
358180,111200301,150202883,3/1/2019,4/1/2019,808,830,22,0,0,0,2,,0,4/2/19 13:02,WIN,1970681
358181,111200310,ed-18-15-01353,3/1/2019,4/1/2019,39,62,23,0,0,0,2,,0,4/2/19 13:02,WIN,1970682
358182,111200311,2415,3/1/2019,4/1/2019,710,718,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970683
358183,111200320,20981400,3/1/2019,4/1/2019,14,22,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970684
358184,111200330,ED-18-15-01580,3/1/2019,4/1/2019,29,51,22,0,0,0,2,,0,4/2/19 13:02,WIN,1970685
358185,111200340,ED-18-15-01359,3/1/2019,4/1/2019,18,27,9,0,0,0,2,,0,4/2/19 13:02,WIN,1970686
358502,111200350,39533,3/5/2019,4/1/2019,1,4,3,0,0,0,2,,0,4/2/19 13:18,WIN,1971003
358186,111200370,ED-18-15-01357,3/1/2019,4/1/2019,24,38,14,0,0,0,2,,0,4/2/19 13:02,WIN,1970687
358187,111200380,ED-18-15-01598,3/1/2019,4/1/2019,14,23,9,0,0,0,2,,0,4/2/19 13:02,WIN,1970688
358188,111200381,07NB023600,3/1/2019,4/1/2019,499,531,32,0,0,0,2,,0,4/2/19 13:02,WIN,1970689
358189,111200410,ED-18-15-01590,3/1/2019,4/1/2019,22,33,11,0,0,0,2,,0,4/2/19 13:02,WIN,1970690
358190,111200420,90270838,3/1/2019,4/1/2019,736,740,4,0,0,0,2,,0,4/2/19 13:02,WIN,1970691
358191,111200460,90271268,3/1/2019,4/1/2019,1598,1606,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970692
358192,111200470,ED-18-15-01881,3/1/2019,4/1/2019,17,27,10,0,0,0,2,,0,4/2/19 13:02,WIN,1970693
358193,111200480,ED-18-15-01315,3/1/2019,4/1/2019,16,26,10,0,0,0,2,,0,4/2/19 13:02,WIN,1970694
358194,111200490,ED-18-15-01314,3/1/2019,4/1/2019,14,22,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970695
358195,111200500,ED-18-15-01572,3/1/2019,4/1/2019,22,36,14,0,0,0,2,,0,4/2/19 13:02,WIN,1970696
358196,111200510,ED-18-15-01618,3/1/2019,4/1/2019,18,29,11,0,0,0,2,,0,4/2/19 13:02,WIN,1970697
358197,111200540,40217541,3/1/2019,4/1/2019,0,7,7,0,0,0,2,,0,4/2/19 13:02,WIN,1970698
358198,111200550,ED-18-15-01495,3/1/2019,4/1/2019,13,20,7,0,0,0,2,,0,4/2/19 13:02,WIN,1970699
358199,111200560,ED-18-15-01576,3/1/2019,4/1/2019,45,71,26,0,0,0,2,,0,4/2/19 13:02,WIN,1970700
358200,111200570,ED-18-15-01346,3/1/2019,4/1/2019,8,14,6,0,0,0,2,,0,4/2/19 13:02,WIN,1970701
358201,111200590,80601272,3/1/2019,4/1/2019,1905,1915,10,0,0,0,2,,0,4/2/19 13:02,WIN,1970702
358202,111200600,ED-18-15-01355,3/1/2019,4/1/2019,50,82,32,0,0,0,2,,0,4/2/19 13:02,WIN,1970703
358203,111200610,ED-18-15-01468,3/1/2019,4/1/2019,31,53,22,0,0,0,2,,0,4/2/19 13:02,WIN,1970704
358204,111200620,ED-18-15-01467,3/1/2019,4/1/2019,258,430,172,0,0,0,2,,0,4/2/19 13:02,WIN,1970705
358205,111200630,ED-18-15-01476,3/1/2019,4/1/2019,259,460,201,0,0,0,2,,0,4/2/19 13:02,WIN,1970706
358206,111200640,17NB044800,3/1/2019,4/1/2019,255,281,26,0,0,0,2,,0,4/2/19 13:02,WIN,1970707
358207,111200650,ED-18-15-01466,3/1/2019,4/1/2019,29,48,19,0,0,0,2,,0,4/2/19 13:02,WIN,1970708
358208,111200660,ED-18-15-01470,3/1/2019,4/1/2019,26,45,19,0,0,0,2,,0,4/2/19 13:02,WIN,1970709
358209,111200681,ED-18-15-01464,3/1/2019,4/1/2019,31,52,21,0,0,0,2,,0,4/2/19 13:02,WIN,1970710
358210,111200700,ED-18-15-01465,3/1/2019,4/1/2019,26,44,18,0,0,0,2,,0,4/2/19 13:02,WIN,1970711
358211,111200710,160870330,3/1/2019,4/1/2019,341,347,6,0,0,0,2,,0,4/2/19 13:02,WIN,1970712
358212,111200730,17NB044803,3/1/2019,4/1/2019,233,245,12,0,0,0,2,,0,4/2/19 13:02,WIN,1970713
358213,111200740,ED-18-15-01331,3/1/2019,4/1/2019,15,22,7,0,0,0,2,,0,4/2/19 13:02,WIN,1970714
360084,111200750,112104317,3/5/2019,4/5/2019,7,20,13,0,0,0,2,,0,4/8/19 17:16,WIN,1972585
358214,111200760,4220218,3/1/2019,4/1/2019,888,896,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970715
358215,111200770,17NB023592,3/1/2019,4/1/2019,339,356,17,0,0,0,2,,0,4/2/19 13:02,WIN,1970716
358216,111200780,ED-18-15-01334,3/1/2019,4/1/2019,24,50,26,0,0,0,2,,0,4/2/19 13:02,WIN,1970717
358217,111200790,17NB023594,3/1/2019,4/1/2019,361,384,23,0,0,0,2,,0,4/2/19 13:02,WIN,1970718
358218,111200800,ED-18-15-09975,3/1/2019,4/1/2019,4,13,9,0,0,0,2,,0,4/2/19 13:02,WIN,1970719
358219,111200801,ED-18-15-10149,3/1/2019,4/1/2019,4,68,64,0,0,0,2,,0,4/2/19 13:02,WIN,1970720
358220,111200810,17NB044805,3/1/2019,4/1/2019,313,334,21,0,0,0,2,,0,4/2/19 13:02,WIN,1970721
358221,111200820,ED-18-15-01479,3/1/2019,4/1/2019,3,14,11,0,0,0,2,,0,4/2/19 13:02,WIN,1970722
358222,111200830,ED-18-15-01366,3/1/2019,4/1/2019,24,32,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970723
358223,111200840,ED-18-15-01340,3/1/2019,4/1/2019,25,41,16,0,0,0,2,,0,4/2/19 13:02,WIN,1970724
358224,111200842,ED-18-15-01477,3/1/2019,4/1/2019,3,7,4,0,0,0,2,,0,4/2/19 13:02,WIN,1970725
358225,111200850,ED-18-15-01333,3/1/2019,4/1/2019,24,34,10,0,0,0,2,,0,4/2/19 13:02,WIN,1970726
358226,111200860,ED-18-15-01475,3/1/2019,4/1/2019,23,37,14,0,0,0,2,,0,4/2/19 13:02,WIN,1970727
358227,111200870,17NB023593,3/1/2019,4/1/2019,306,321,15,0,0,0,2,,0,4/2/19 13:02,WIN,1970728
358228,111200881,140109697,3/1/2019,4/1/2019,574,583,9,0,0,0,2,,0,4/2/19 13:02,WIN,1970729
358229,111200882,80601255,3/1/2019,4/1/2019,753,763,10,0,0,0,2,,0,4/2/19 13:02,WIN,1970730
358230,111200890,ED-18-15-01339,3/1/2019,4/1/2019,9,15,6,0,0,0,2,,0,4/2/19 13:02,WIN,1970731
358231,111200900,ED-18-15-01335,3/1/2019,4/1/2019,31,55,24,0,0,0,2,,0,4/2/19 13:02,WIN,1970732
358232,111200910,1331,3/1/2019,4/1/2019,964,995,31,0,0,0,2,,0,4/2/19 13:02,WIN,1970733
358233,111200920,17NB04326,3/1/2019,4/1/2019,317,338,21,0,0,0,2,,0,4/2/19 13:02,WIN,1970734
360085,111200921,112104108,3/5/2019,4/5/2019,2,8,6,0,0,0,2,,0,4/8/19 17:16,WIN,1972586
358234,111200930,ED-18-15-01638,3/1/2019,4/1/2019,30,53,23,0,0,0,2,,0,4/2/19 13:02,WIN,1970735
358235,111200931,ED-18-15-01250,3/1/2019,4/1/2019,15,25,10,0,0,0,2,,0,4/2/19 13:02,WIN,1970736
358236,111200940,ED-18-15-09708,3/1/2019,4/1/2019,18,33,15,0,0,0,2,,0,4/2/19 13:02,WIN,1970737
358237,111200950,ED-18-15-01431,3/1/2019,4/1/2019,2,7,5,0,0,0,2,,0,4/2/19 13:02,WIN,1970738
358238,111200960,ED-18-15-01557,3/1/2019,4/1/2019,15,26,11,0,0,0,2,,0,4/2/19 13:02,WIN,1970739
358239,111200961,ED-18-15-01648,3/1/2019,4/1/2019,9,15,6,0,0,0,2,,0,4/2/19 13:02,WIN,1970740
358240,111200970,ED-18-15-01556,3/1/2019,4/1/2019,23,38,15,0,0,0,2,,0,4/2/19 13:02,WIN,1970741
358241,111200980,ED-18-15-01433,3/1/2019,4/1/2019,2,10,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970742
358242,111200990,ED-18-15-01360,3/1/2019,4/1/2019,11,19,8,0,0,0,2,,0,4/2/19 13:02,WIN,1970743
358243,111201020,ED-18-15-01358,3/1/2019,4/1/2019,32,48,16,0,0,0,2,,0,4/2/19 13:02,WIN,1970744
358244,111201030,ED-18-15-01552,3/1/2019,4/1/2019,16,26,10,0,0,0,2,,0,4/2/19 13:02,WIN,1970745
358246,111201060,ED-18-15-01356,3/1/2019,4/1/2019,20,33,13,0,0,0,2,,0,4/2/19 13:02,WIN,1970747
358247,111201070,ED-18-15-09895,3/1/2019,4/1/2019,20,36,16,0,0,0,2,,0,4/2/19 13:02,WIN,1970748
358248,111201080,17NB023591,3/1/2019,4/1/2019,568,598,30,0,0,0,2,,0,4/2/19 13:02,WIN,1970749
358249,111201090,ED-18-15-01636,3/1/2019,4/1/2019,34,58,24,0,0,0,2,,0,4/2/19 13:02,WIN,1970750
