Acct_No,Trans_Date,Ref_Code,Ref_no,Amount,Timestamp,Tag,Reading,Consumption,sequence
611201770,5/2/2019,4,1579983,-261.94,5/2/19 14:36,W,,,3025505
411200720,5/2/2019,4,1579982,-1157.98,5/2/19 14:20,W,,,3025504
311204250,5/2/2019,4,1579981,-378.54,5/2/19 14:06,W,,,3025503
511205000,5/2/2019,4,1579980,-261.94,5/2/19 13:40,W,,,3025502
214202690,5/2/2019,5,1579979,-509.11,5/2/19 13:38,W,,,3025501
214202690,5/2/2019,8,1579979,500,5/2/19 13:38,W,,,3025500
214202690,5/2/2019,4,1579979,-500,5/2/19 13:37,W,,,3025499
611201420,5/2/2019,4,1579978,-231,5/2/19 13:16,W,,,3025498
211206560,5/2/2019,4,1579977,-261.94,5/2/19 12:23,W,,,3025497
411206200,5/2/2019,4,1579976,-832.83,5/2/19 11:52,W,,,3025496
211206640,5/2/2019,4,1579975,-231,5/2/19 11:49,W,,,3025495
411205140,5/2/2019,4,1579974,-231,5/2/19 11:38,W,,,3025494
211202440,5/2/2019,4,1579973,-231,5/2/19 11:31,W,,,3025493
211207727,5/2/2019,4,1579972,-585.61,5/2/19 11:23,W,,,3025492
411206647,5/2/2019,4,1579971,-261.94,5/2/19 11:20,W,,,3025491
411206682,5/2/2019,4,1579970,-865.55,5/2/19 11:19,W,,,3025490
311200810,5/2/2019,4,1579969,-292.83,5/2/19 11:15,W,,,3025489
411202421,5/2/2019,14,1579968,-60.6,5/2/19 11:12,W,,,3025488
411202421,5/2/2019,4,1579968,-2969.12,5/2/19 11:12,W,,,3025487
511205777,5/2/2019,4,1579967,-231,5/2/19 11:07,W,,,3025486
511200770,5/2/2019,4,1579966,-231,5/2/19 11:07,W,,,3025485
511205911,5/2/2019,4,1579965,-231,5/2/19 11:05,W,,,3025484
211206480,5/2/2019,4,1579964,-541.94,5/2/19 10:52,W,,,3025483
411206577,5/2/2019,4,1579963,-578.99,5/2/19 10:51,W,,,3025482
311203950,5/2/2019,4,1579962,-231,5/2/19 10:50,W,,,3025481
611202610,5/2/2019,4,1579961,-509.11,5/2/19 10:49,W,,,3025480
611202490,5/2/2019,4,1579960,-323.72,5/2/19 10:48,W,,,3025479
211204190,5/2/2019,4,1579959,-231,5/2/19 10:46,W,,,3025478
