SysNo,ReceiptType,ReceiptNo,AcctNo,BillNo,PymtDate,PymtMethod,Cash,CheckAmt,CheckNo,BankID,Branch,ReceiptStatus,Teller,BankSource
220767,4,1579983,611201770,10276904,5/2/2019,0,261.94,0,               ,,               ,1,WIN,0
220766,4,1579982,411200720,10275623,5/2/2019,0,1157.98,0,               ,,               ,1,WIN,0
220765,4,1579981,311204250,10275520,5/2/2019,0,378.54,0,               ,,               ,1,WIN,0
220764,4,1579980,511205000,10276618,5/2/2019,0,261.94,0,               ,,               ,1,WIN,0
220763,5,1579979,214202690,10274729,5/2/2019,0,509.11,0,               ,,               ,1,WIN,0
220762,4,1579979,214202690,10274729,5/2/2019,0,500,0,               ,,               ,2,WIN,0
220761,4,1579978,611201420,10276931,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220760,4,1579977,211206560,10275100,5/2/2019,0,261.94,0,               ,,               ,1,WIN,0
220759,4,1579976,411206200,10275820,5/2/2019,0,832.83,0,               ,,               ,1,WIN,0
220758,4,1579975,211206640,10275118,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220757,4,1579974,411205140,10276092,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220756,4,1579973,211202440,10274709,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220755,4,1579972,211207727,10275132,5/2/2019,0,585.61,0,               ,,               ,1,WIN,0
220754,4,1579971,411206647,10275905,5/2/2019,0,261.94,0,               ,,               ,1,WIN,0
220753,4,1579970,411206682,10275823,5/2/2019,0,865.55,0,               ,,               ,1,WIN,0
220752,4,1579969,311200810,10275234,5/2/2019,0,292.83,0,               ,,               ,1,WIN,0
220751,4,1579968,411202421,10275723,5/2/2019,1,0,2969.12,1156644,6,Bislig City    ,1,WIN,0
220750,4,1579967,511205777,10276215,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220749,4,1579966,511200770,10276186,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220748,4,1579965,511205911,10276632,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220747,4,1579964,211206480,10275069,5/2/2019,0,541.94,0,               ,,               ,1,WIN,0
220746,4,1579963,411206577,10275779,5/2/2019,0,578.99,0,               ,,               ,1,WIN,0
220745,4,1579962,311203950,10275440,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220744,4,1579961,611202610,10276828,5/2/2019,0,509.11,0,               ,,               ,1,WIN,0
220743,4,1579960,611202490,10276837,5/2/2019,0,323.72,0,               ,,               ,1,WIN,0
220742,4,1579959,211204190,10274823,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220741,4,1579958,411206558,10275927,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220740,4,1579957,111200270,10274255,5/2/2019,0,678.33,0,               ,,               ,1,WIN,0
220739,4,1579956,211207510,10274763,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220738,4,1579955,211207766,10275138,5/2/2019,0,323.72,0,               ,,               ,1,WIN,0
220737,4,1579954,411206680,10275601,5/2/2019,0,385.5,0,               ,,               ,1,WIN,0
220736,5,1579953,511205880,10276575,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220735,5,1579952,411205350,10276095,5/2/2019,0,656.97,0,               ,,               ,1,WIN,0
220734,5,1579951,411202000,10275534,5/2/2019,0,800,0,               ,,               ,1,WIN,0
220733,4,1579951,411202000,10275534,5/2/2019,0,80,0,               ,,               ,2,WIN,0
220732,4,1579950,111206590,10274543,5/2/2019,0,462,0,               ,,               ,1,WIN,0
220731,4,1579949,117203300,10274392,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220730,4,1579948,611201830,10276893,5/2/2019,0,462,0,               ,,               ,1,WIN,0
220729,4,1579947,511205220,10276200,5/2/2019,0,231,0,               ,,               ,1,WIN,0
220728,4,1579946,611201080,10276770,5/2/2019,0,292.83,0,               ,,               ,1,WIN,0
