Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,B_Code,Receivable,Collected
10254327,111200340,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337969,33.4,FALSE,7,333.75,333.75
10254329,111200350,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337970,20,FALSE,3,498.85,498.85
10254329,111200350,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337970,20,FALSE,7,200,200
10254330,111200370,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337971,25.35,FALSE,7,253.5,253.5
10254331,111200380,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337972,20,FALSE,7,200,190
10254332,111200381,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337973,147.5,FALSE,7,1475,1475
10254334,111200410,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337974,41.4,FALSE,7,414,414
10254335,111200420,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337975,20,FALSE,7,200,200
10254336,111200430,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338289,20,TRUE,7,200,0
10254336,111200430,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338289,20,TRUE,10,20,0
10254338,111200460,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337976,33.4,TRUE,7,333.75,0
10254338,111200460,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337976,33.4,TRUE,10,33.4,0
10254340,111200470,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337977,22.7,TRUE,3,278.85,278.85
10254340,111200470,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337977,22.7,TRUE,7,226.75,0
10254340,111200470,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337977,22.7,TRUE,10,22.7,0
10254341,111200480,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337978,20,FALSE,7,200,190
10254342,111200490,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337979,20,FALSE,7,200,200
10254343,111200500,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337980,50.15,FALSE,7,501.25,501.25
10254344,111200510,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337981,20,FALSE,7,200,200
10254345,111200540,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337982,20,TRUE,7,200,0
10254345,111200540,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337982,20,TRUE,10,20,0
10254347,111200550,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337983,20,TRUE,7,200,200
10254347,111200550,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337983,20,TRUE,10,20,20
10254348,111200560,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337984,80.5,FALSE,7,805,805
10254349,111200570,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337985,20,FALSE,7,200,200
10254350,111200580,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337986,35,FALSE,7,350,350
10254351,111200590,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337987,20,TRUE,3,278.85,278.85
10254351,111200590,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337987,20,TRUE,7,200,200
10254351,111200590,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337987,20,TRUE,10,20,20
10254352,111200600,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337988,101,FALSE,7,1010,1010
10254354,111200610,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337989,30.7,FALSE,7,307,0
10254355,111200620,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337990,460.25,FALSE,3,3303,3303
10254355,111200620,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337990,460.25,FALSE,7,4602.2,0
10254356,111200630,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337991,186.5,FALSE,3,2003.8,2003.8
10254356,111200630,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337991,186.5,FALSE,7,1864.6,0
10254357,111200640,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337992,41.4,FALSE,7,414,0
10254358,111200650,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337993,63.65,FALSE,7,636.25,604.44
10254359,111200660,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337994,38.75,TRUE,7,387.25,387.25
10254359,111200660,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337994,38.75,TRUE,10,38.75,38.75
10254361,111200681,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337995,36.05,FALSE,7,360.5,342.48
10254363,111200700,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337996,41.4,FALSE,7,414,414
10254364,111200710,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337997,20,TRUE,3,220,0
10254364,111200710,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337997,20,TRUE,7,200,0
10254364,111200710,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337997,20,TRUE,10,20,0
10254367,111200730,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337998,28.05,FALSE,3,426,426
10254367,111200730,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337998,28.05,FALSE,7,280.25,280.25
10254368,111200740,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337999,20,FALSE,7,200,200
10254326,111200330,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337968,53.5,TRUE,3,588.5,500
10254326,111200330,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337968,53.5,TRUE,7,535,0
10254326,111200330,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337968,53.5,TRUE,10,53.5,0
10254372,111200760,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338000,20,FALSE,7,200,190
10254375,111200770,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338001,56.9,FALSE,7,568.75,568.75
10254374,111200780,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338002,28.05,FALSE,7,280.25,280.25
10254377,111200790,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338003,53.5,TRUE,7,535,535
10254377,111200790,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338003,53.5,TRUE,10,53.5,53.5
10254378,111200800,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338004,20,TRUE,7,200,200
10254378,111200800,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338004,20,TRUE,10,20,20
10254324,111200320,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337967,20,FALSE,7,200,200
10254380,111200810,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338006,41.4,TRUE,7,414,0
10254380,111200810,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338006,41.4,TRUE,10,41.4,0
10254381,111200820,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338007,30.7,FALSE,7,307,307
10254382,111200830,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338008,44.1,TRUE,3,514.25,0
10254382,111200830,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338008,44.1,TRUE,7,440.75,0
10254382,111200830,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338008,44.1,TRUE,10,44.1,0
10254379,111200840,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338009,33.4,TRUE,3,367.15,367.15
10254379,111200840,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338009,33.4,TRUE,7,333.75,0
10254379,111200840,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338009,33.4,TRUE,10,33.4,0
10254383,111200842,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338010,20,FALSE,7,200,200
10254392,111200850,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338011,36.05,FALSE,7,360.5,360.5
10254391,111200860,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338012,41.4,TRUE,7,414,414
10254391,111200860,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338012,41.4,TRUE,10,41.4,41.4
10254384,111200870,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338013,46.75,TRUE,3,1147.6,1147.6
10254384,111200870,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338013,46.75,TRUE,7,467.5,0
10254384,111200870,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338013,46.75,TRUE,10,46.75,0
10254385,111200881,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338014,28.05,FALSE,7,280.25,280.25
10254386,111200882,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338015,20,FALSE,7,200,200
10254387,111200890,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338016,20,TRUE,7,200,0
10254387,111200890,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338016,20,TRUE,10,20,0
10254388,111200900,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338017,46.75,FALSE,7,467.5,467.5
10254389,111200910,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338018,38.75,TRUE,7,387.25,0
10254389,111200910,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338018,38.75,TRUE,10,38.75,0
10254390,111200920,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338019,50.15,FALSE,7,501.25,501.25
10254323,111200311,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337966,20,FALSE,3,220,220
10254323,111200311,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337966,20,FALSE,7,200,200
10254393,111200930,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338020,46.75,TRUE,3,588.5,0
10254393,111200930,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338020,46.75,TRUE,7,467.5,0
10254393,111200930,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338020,46.75,TRUE,10,46.75,0
10254394,111200931,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338021,20,FALSE,7,200,200
10254414,111200940,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338022,30.7,FALSE,7,307,307
10254395,111200950,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338023,20,FALSE,7,200,200
10254397,111200960,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338024,20,FALSE,7,200,200
10254398,111200961,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338025,20,TRUE,3,220,0
10254398,111200961,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338025,20,TRUE,7,200,0
10254398,111200961,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338025,20,TRUE,10,20,0
10254399,111200970,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338026,30.7,FALSE,3,278.85,278.85
10254399,111200970,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338026,30.7,FALSE,7,307,307
10254400,111200980,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338027,20,TRUE,7,200,0
10254400,111200980,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338027,20,TRUE,10,20,0
10254401,111200990,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338028,44.1,FALSE,7,440.75,440.75
10254403,111201020,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338029,41.4,FALSE,7,414,414
10254404,111201030,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338030,20,TRUE,7,200,0
10254404,111201030,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338030,20,TRUE,10,20,0
10254402,111201040,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338031,30.7,TRUE,3,396.55,0
10254402,111201040,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338031,30.7,TRUE,7,307,0
10254402,111201040,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338031,30.7,TRUE,10,30.7,0
10254406,111201060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338032,20,FALSE,7,200,200
10254407,111201070,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338033,30.7,TRUE,7,307,0
10254407,111201070,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338033,30.7,TRUE,10,30.7,0
10254408,111201080,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338034,73.75,TRUE,3,1288.4,1288.4
10254408,111201080,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338034,73.75,TRUE,7,737.5,0
10254408,111201080,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338034,73.75,TRUE,10,73.75,0
10254409,111201090,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338035,73.75,TRUE,3,811.25,811.25
10254409,111201090,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338035,73.75,TRUE,7,737.5,0
10254409,111201090,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338035,73.75,TRUE,10,73.75,0
10254410,111201100,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338036,33.4,FALSE,7,333.75,333.75
10254411,111201110,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338037,38.75,FALSE,7,387.25,387.25
10254412,111201120,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338038,60.25,FALSE,7,602.5,602.5
10254413,111201140,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338039,28.05,TRUE,7,280.25,280.25
10254413,111201140,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338039,28.05,TRUE,10,28.05,28.05
10254371,111201741,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338040,140.1,TRUE,3,662.75,0
10254371,111201741,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338040,140.1,TRUE,7,1400.6,0
10254371,111201741,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338040,140.1,TRUE,10,140.1,0
10254418,111201760,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338041,38.75,TRUE,3,455.4,0
10254418,111201760,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338041,38.75,TRUE,7,387.25,0
10254418,111201760,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338041,38.75,TRUE,10,38.75,0
10254415,111201780,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338042,20,FALSE,7,200,200
10254416,111201790,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338043,36.05,TRUE,7,360.5,360.5
10254416,111201790,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338043,36.05,TRUE,10,36.05,36.05
10254417,111201820,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338044,20,FALSE,7,200,200
10254419,111201840,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338045,70.4,FALSE,7,703.75,703.75
10254420,111201860,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338046,41.4,TRUE,7,414,0
10254420,111201860,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338046,41.4,TRUE,10,41.4,0
10254421,111201890,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338047,20,FALSE,7,200,200
10254422,111201920,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338048,105.1,TRUE,3,377.2,0
10254422,111201920,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338048,105.1,TRUE,7,1051,0
10254422,111201920,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338048,105.1,TRUE,10,105.1,0
10254424,111201940,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338049,20,FALSE,7,200,200
10254426,111202060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338050,46.75,TRUE,3,1380.6,0
10254426,111202060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338050,46.75,TRUE,7,467.5,0
10254426,111202060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338050,46.75,TRUE,10,46.75,0
10254429,111202100,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338051,20,FALSE,3,220,220
10254429,111202100,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338051,20,FALSE,7,200,200
10254322,111200310,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337965,30.7,TRUE,3,1246.3,0
10254322,111200310,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337965,30.7,TRUE,7,307,0
10254322,111200310,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337965,30.7,TRUE,10,30.7,0
10254325,111200301,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337964,60.25,TRUE,7,602.5,0
10254325,111200301,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337964,60.25,TRUE,10,60.25,0
10254321,111200300,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337963,20,TRUE,3,308.3,308.3
10254321,111200300,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337963,20,TRUE,7,200,200
10254321,111200300,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337963,20,TRUE,10,20,20
10254320,111200290,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337962,109.2,FALSE,7,1092,1092
10254318,111200270,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337961,20,TRUE,3,220,0
10254318,111200270,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337961,20,TRUE,7,200,0
10254318,111200270,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337961,20,TRUE,10,20,0
10254317,111200260,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337960,50.7,FALSE,7,507,507
10254315,111200230,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337958,28.05,TRUE,7,280.25,0
10254315,111200230,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337958,28.05,TRUE,10,28.05,0
10254312,111200210,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337957,60.25,FALSE,7,602.5,602.5
10254310,111200160,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337956,20,FALSE,7,200,200
10254309,111200150,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337955,60.25,FALSE,7,602.5,572.38
10254308,111200140,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337954,183.9,FALSE,7,1839,1839
10254307,111200130,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337953,22.7,TRUE,7,226.75,0
10254307,111200130,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337953,22.7,TRUE,10,22.7,0
10254306,111200110,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337952,28.05,FALSE,7,280.25,280.25
10254305,111200101,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337951,63.65,TRUE,3,337.7,0
10254305,111200101,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337951,63.65,TRUE,7,636.25,0
10254305,111200101,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337951,63.65,TRUE,10,63.65,0
10254304,111200090,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337950,41.4,FALSE,7,414,414
10254302,111200080,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337949,36.05,FALSE,7,360.5,360.5
10254300,111200060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337948,73.75,FALSE,3,848.4,848.4
10254300,111200060,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337948,73.75,FALSE,7,737.5,737.5
10254299,111200050,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337947,28.05,FALSE,3,514.25,514.25
10254299,111200050,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337947,28.05,FALSE,7,280.25,280.25
10254298,111200030,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337946,60.25,FALSE,7,602.5,602.5
10254296,111200010,10/01/18 12:00 AM,10/16/18 12:00 AM,2,337945,35,FALSE,7,350,350
10256333,111200750,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339874,25.35,TRUE,7,253.5,0
10256333,111200750,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339874,25.35,TRUE,10,25.35,0
10254452,111200801,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338005,191.1,FALSE,7,1911,1911
10256466,111200921,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339875,20,FALSE,3,396.55,396.55
10256466,111200921,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339875,20,FALSE,7,200,200
10255995,111200020,10/04/18 12:00 AM,10/19/18 12:00 AM,2,339323,20,FALSE,7,200,200
10254430,111202110,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338052,70.4,TRUE,7,703.75,703.75
10254430,111202110,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338052,70.4,TRUE,10,70.4,70.4
10256417,111202141,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339876,44.1,TRUE,3,863.85,0
10256417,111202141,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339876,44.1,TRUE,7,440.75,0
10256417,111202141,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339876,44.1,TRUE,10,44.1,0
10254433,111202150,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338053,20,TRUE,3,1878.4,0
10254433,111202150,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338053,20,TRUE,7,200,0
10254433,111202150,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338053,20,TRUE,10,20,0
10254434,111202180,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338054,20,TRUE,3,278.85,0
10254434,111202180,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338054,20,TRUE,7,200,0
10254434,111202180,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338054,20,TRUE,10,20,0
10254435,111202200,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338055,30.7,TRUE,7,307,0
10254435,111202200,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338055,30.7,TRUE,10,30.7,0
10254436,111202210,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338056,30.7,FALSE,7,307,307
10254437,111202220,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338057,20,FALSE,7,200,200
10254439,111202270,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338058,84.6,FALSE,7,846,846
10254441,111202300,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338059,20,TRUE,7,200,200
10254441,111202300,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338059,20,TRUE,10,20,20
10254442,111202310,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338060,46.75,TRUE,7,467.5,0
10254442,111202310,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338060,46.75,TRUE,10,46.75,0
10254443,111202340,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338061,53.5,TRUE,7,535,535
10254443,111202340,10/01/18 12:00 AM,10/16/18 12:00 AM,2,338061,53.5,TRUE,10,53.5,53.5
