Bill_No,B_Code,Receivable,Collected,Adjustment,sequence
10260908,7,350,350,0,2586255
10260909,7,602.5,602.5,0,2586256
10260910,7,535,535,0,2586257
10260911,7,226.75,226.75,0,2586258
10260912,3,774.15,774.15,0,2586260
10260912,7,928,928,0,2586259
10260913,3,330,330,0,2586262
10260913,7,300,300,0,2586261
10260914,7,333.75,317.07,-16.68,2586263
10260915,7,200,200,0,2586264
10260916,7,200,200,0,2586265
10260917,3,1737.5,1737.5,0,2586267
10260917,7,602.5,0,0,2586266
10260917,10,60.25,0,0,2590656
10260918,7,253.5,253.5,0,2586268
10260919,3,528.3,528.3,0,2586270
10260919,7,280.25,280.25,0,2586269
10260920,7,440.75,440.75,0,2586271
10260921,7,200,200,0,2586272
10260921,10,20,20,0,2590657
10260922,7,568.75,540.32,-28.43,2586273
10260923,7,200,200,0,2586274
10260924,7,200,200,0,2586275
10260924,10,20,20,0,2590658
10260925,7,969,969,0,2586276
10260926,7,200,200,0,2586277
10260927,7,881.5,881.5,0,2586278
10260928,7,307,307,0,2586279
10260928,10,30.7,30.7,0,2590659
10260929,7,1839,1839,0,2586280
10260929,10,183.9,183.9,0,2590660
10260930,7,614,614,0,2586281
10260931,3,337.7,337.7,0,2586283
10260931,7,333.75,333.75,0,2586282
10260931,10,33.4,33.4,0,2590661
10260932,7,1205,1205,0,2586284
10260933,7,1307.8,1307.8,0,2586285
10260934,7,253.5,253.5,0,2586286
10260935,3,1001.15,1001.15,0,2586288
10260935,7,307,291.65,-15.35,2586287
10260936,3,220,0,0,2586290
10260936,7,200,200,0,2586289
10260936,10,20,20,0,2590662
10260937,7,200,200,0,2586291
10260938,7,602.5,602.5,0,2586292
10260939,3,426,426,0,2586294
10260939,7,467.5,467.5,0,2586293
10260939,10,39.35,39.35,0,2590663
10260940,7,280.25,280.25,0,2586295
10260941,7,200,200,0,2586296
10260941,10,20,20,0,2590664
10260942,7,200,200,0,2586297
10260942,10,20,20,0,2590665
10260943,7,253.5,253.5,0,2586298
10260944,7,501.25,476.19,-25.06,2586299
10260945,7,1340,1340,0,2586300
10260946,7,280.25,280.25,0,2586301
10260947,7,440.75,440.75,0,2586302
10260948,7,200,200,0,2586303
10260949,3,440,0,0,2586305
10260949,7,200,0,0,2586304
10260949,10,20,0,0,2590666
10260950,3,5531.25,0,0,2586307
10260950,7,2266,242.15,0,2586306
10260950,10,226.6,226.6,0,2590667
10260951,7,280.25,280.25,0,2586308
10260951,10,28.05,28.05,0,2590668
10260952,3,278.85,278.85,0,2586310
10260952,7,200,200,0,2586309
10260952,10,20,20,0,2590669
10260953,7,414,393.3,-20.7,2586311
10260954,7,200,200,0,2586312
10260954,10,20,20,0,2590670
10260955,7,387.25,387.25,0,2586313
10260956,7,200,200,0,2586314
10260957,7,253.5,253.5,0,2586315
10260958,7,253.5,253.5,0,2586316
10260958,10,25.35,25.35,0,2590671
10260959,7,200,200,0,2586317
10260960,7,737.5,737.5,0,2586318
10260961,7,200,200,0,2586319
10260962,3,385,0,0,2586321
10260962,7,350,0,0,2586320
10260962,10,35,0,0,2590672
10260963,7,200,200,0,2586322
10260963,10,20,20,0,2590673
10260964,7,969,969,0,2586323
10260965,7,3488.6,3488.6,0,2586324
10260966,7,467.5,467.5,0,2586325
10260967,3,7061.4,7061.4,0,2586327
10260967,7,6087,6087,0,2586326
10260968,3,8499.8,8499.8,0,2586329
10260968,7,9938.2,9938.2,0,2586328
10260969,7,387.25,387.25,0,2586330
10260970,7,414,393.3,-20.7,2586331
10260971,7,501.25,501.25,0,2586332
10260972,7,995.15,995.15,0,2586333
10260973,7,467.5,444.13,-23.37,2586334
10260974,7,440.75,440.75,0,2586335
10260975,7,414,414,0,2586336
10260976,3,220,0,0,2586338
10260976,7,200,200,0,2586337
10260976,10,20,20,0,2590674
10260977,7,300,300,0,2586339
10260978,7,1982.5,1982.5,0,2586340
10260979,3,337.7,337.7,0,2586342
10260979,7,253.5,253.5,0,2586341
10260980,7,200,200,0,2586343
10260981,7,771.25,771.25,0,2586344
10260982,3,616.6,616.6,0,2586346
10260982,7,307,307,0,2586345
10260982,10,30.7,30.7,0,2590675
10260983,7,703.75,703.75,0,2586347
10260983,10,70.4,70.4,0,2590676
10260984,7,200,190,-10,2586348
10260985,7,226.75,226.75,0,2586349
10260986,7,200,200,0,2586350
10260986,10,20,20,0,2590677
10260987,7,280.25,280.25,0,2586351
10260988,7,226.75,226.75,0,2586352
10260989,7,467.5,467.5,0,2586353
10260990,7,200,200,0,2586354
10260991,3,337.7,337.7,0,2586356
10260991,7,280.25,280.25,0,2586355
10260991,10,28.05,28.05,0,2590678
10260992,7,467.5,467.5,0,2586357
10260992,10,46.75,46.75,0,2590679
10260993,7,307,307,0,2586358
10260994,3,662.75,662.75,0,2586360
10260994,7,414,414,0,2586359
10260994,10,7.7,7.7,0,2590680
10260995,7,253.5,253.5,0,2586361
10260995,10,25.35,25.35,0,2590681
10260996,3,1214.15,1214.15,0,2586363
10260996,7,414,414,0,2586362
10260996,10,41.4,41.4,0,2590682
10260997,7,200,200,0,2586364
10260998,7,200,200,0,2586365
10260998,10,20,20,0,2590683
10260999,7,200,200,0,2586366
10260999,10,20,20,0,2590684
10261000,7,387.25,387.25,0,2586367
10261001,7,467.5,467.5,0,2586368
10261001,10,46.75,46.75,0,2590685
10261002,7,1010,1010,0,2586369
10261003,7,414,414,0,2586370
10261003,10,41.4,41.4,0,2590686
10261004,7,440.75,440.75,0,2586371
10261005,3,426,0,0,2586373
10261005,7,360.5,360.5,0,2586372
10261005,10,36.05,36.05,0,2590687
10261006,7,200,200,0,2586374
10261007,7,200,200,0,2586375
10261008,7,200,190,-10,2586376
10261008,10,19,19,0,2590688
10261009,7,226.75,226.75,0,2586377
10261010,3,220,0,0,2586379
10261010,7,200,200,0,2586378
10261010,10,20,20,0,2590689
10261011,7,440.75,440.75,0,2586380
10261011,10,44.1,44.1,0,2590690
10261012,7,200,200,0,2586381
10261012,10,20,20,0,2590691
10261013,7,414,414,0,2586382
10261014,7,360.5,360.5,0,2586383
10261014,10,36.05,36.05,0,2590692
10261015,7,387.25,387.25,0,2586384
10261016,7,200,200,0,2586385
10261016,10,20,20,0,2590693
10261017,7,360.5,360.5,0,2586386
10261017,10,36.05,36.05,0,2590694
10261018,7,200,200,0,2586387
10261019,7,280.25,280.25,0,2586388
10261020,3,586.95,586.95,0,2586390
10261020,7,846,846,0,2586389
10261021,3,511.15,0,0,2586392
10261021,7,771.25,771.25,0,2586391
10261021,10,77.15,77.15,0,2590695
10261022,7,307,307,0,2586393
10261022,10,30.7,30.7,0,2590696
10261023,7,414,414,0,2586394
10261024,7,200,200,0,2586395
10261024,10,20,20,0,2590697
10261025,7,1400.6,1400.6,0,2586396
10261025,10,90.1,90.1,0,2590698
10261026,7,200,200,0,2586397
10261027,7,200,200,0,2586398
10261027,10,20,20,0,2590699
10261028,7,307,307,0,2586399
10261028,10,30.7,30.7,0,2590700
10261029,7,200,200,0,2586400
10261030,3,367.15,367.15,0,2586402
10261030,7,387.25,387.25,0,2586401
10261030,10,38.75,38.75,0,2590701
10261031,7,771.25,771.25,0,2586403
10261031,10,77.15,77.15,0,2590702
10261032,7,280.25,280.25,0,2586404
10261033,7,200,200,0,2586405
10261034,3,1246.3,0,0,2586407
10261034,7,387.25,387.25,0,2586406
10261034,10,38.75,38.75,0,2590703
10261035,7,200,200,0,2586408
10261036,3,220,0,0,2586410
10261036,7,200,0,0,2586409
10261036,10,20,0,0,2590704
10261037,3,455.4,0,0,2586412
10261037,7,1493.4,0,0,2586411
10261037,10,149.35,0,0,2590705
10261038,3,484.85,0,0,2586414
10261038,7,467.5,467.5,0,2586413
10261038,10,46.75,46.75,0,2590706
10261039,7,200,200,0,2586415
10261039,10,20,20,0,2590707
10261040,3,278.85,0,0,2586417
10261040,7,414,414,0,2586416
10261040,10,41.4,41.4,0,2590708
10261041,3,220,220,0,2586419
10261041,7,200,200,0,2586418
10261041,10,20,20,0,2590709
10261042,7,703.75,703.75,0,2586420
10261043,7,200,200,0,2586421
10261044,3,551.4,551.4,0,2586423
10261044,7,636.25,636.25,0,2586422
10261044,10,63.65,63.65,0,2590710
10261045,3,426,0,0,2586425
10261045,7,280.25,280.25,0,2586424
10261045,10,28.05,28.05,0,2590711
10261046,7,200,200,0,2586426
10261047,3,734.25,0,0,2586428
10261047,7,226.75,0,0,2586427
10261047,10,22.7,0,0,2590712
10261048,7,307,307,0,2586429
10261049,7,414,414,0,2586430
10261049,10,41.4,41.4,0,2590713
10261050,7,636.25,636.25,0,2586431
10261050,10,63.65,63.65,0,2590714
10261051,7,670,636.5,-33.5,2586432
10261051,10,63.65,63.65,0,2590715
10261052,7,200,200,0,2586433
10261053,7,200,200,0,2586434
10261054,7,440.75,440.75,0,2586435
10261054,10,44.1,44.1,0,2590716
10261055,7,535,535,0,2586436
10261056,7,200,200,0,2586437
10261057,7,253.5,253.5,0,2586438
10261058,7,200,190,-10,2586439
10261059,7,253.5,253.5,0,2586440
10261060,7,280.25,280.25,0,2586441
10261061,3,220,0,0,2586443
10261061,7,200,200,0,2586442
10261061,10,20,20,0,2590717
10261062,7,307,291.65,-15.35,2586444
10261063,7,200,190,-10,2586445
10261064,7,200,200,0,2586446
10261065,3,396.55,396.55,0,2586448
10261065,7,280.25,280.25,0,2586447
10261065,10,28.05,28.05,0,2590718
10261066,3,440,440,0,2586450
10261066,7,280.25,280.25,0,2586449
10261067,3,930.6,0,0,2586452
10261067,7,846,846,0,2586451
10261067,10,84.6,84.6,0,2590719
10261068,7,200,200,0,2586453
10261068,10,20,20,0,2590720
10261069,3,557.7,557.7,0,2586455
10261069,7,200,200,0,2586454
10261069,10,20,20,0,2590721
10261070,3,793.1,793.1,0,2586457
10261070,7,280.25,280.25,0,2586456
10261070,10,28.05,28.05,0,2590722
10261071,7,703.75,703.75,0,2586458
10261072,7,307,307,0,2586459
10261073,7,200,200,0,2586460
10261074,7,1493.4,1493.4,0,2586461
10261075,3,414,414,0,2586463
10261075,7,440.75,440.75,0,2586462
10261076,3,805,805,0,2586465
10261076,7,805,805,0,2586464
10261077,3,1739.6,0,0,2586467
10261077,7,200,200,0,2586466
10261077,10,20,20,0,2590723
10261078,7,200,200,0,2586468
10261079,3,1156.1,0,0,2586470
10261079,7,887,887,0,2586469
10261079,10,88.7,88.7,0,2590724
10261080,7,200,200,0,2586471
10261081,3,691.3,691.3,0,2586473
10261081,7,440.75,440.75,0,2586472
10261082,3,337.7,337.7,0,2586475
10261082,7,307,307,0,2586474
10261082,10,30.7,30.7,0,2590725
10261083,7,805,805,0,2586476
10261084,7,414,393.3,-20.7,2586477
10261085,7,360.5,360.5,0,2586478
