Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,M_Penalty
10260908,111200010,12-1-2018,12-16-2018,2,344667,35,0,1
10260909,111207720,12-1-2018,12-16-2018,2,344920,60.25,0,1
10260910,111200030,12-1-2018,12-16-2018,2,344668,53.5,0,1
10260911,111200050,12-1-2018,12-16-2018,2,344669,22.7,0,1
10260912,111200060,12-1-2018,12-16-2018,2,344670,92.8,0,1
10260913,111207731,12-1-2018,12-16-2018,2,344930,30,0,1
10260914,111200080,12-1-2018,12-16-2018,2,344671,33.4,0,1
10260915,111207670,12-1-2018,12-16-2018,2,344899,20,0,1
10260916,111200090,12-1-2018,12-16-2018,2,344672,20,0,1
10260917,111200101,12-1-2018,12-16-2018,2,344673,60.25,1,1
10260918,111200110,12-1-2018,12-16-2018,2,344674,25.35,0,1
10260919,111200130,12-1-2018,12-16-2018,2,344675,28.05,0,1
10260920,111200140,12-1-2018,12-16-2018,2,344676,44.1,0,1
10260921,111207741,12-1-2018,12-16-2018,2,345006,20,1,1
10260922,111200150,12-1-2018,12-16-2018,2,344677,56.9,0,1
10260923,111200160,12-1-2018,12-16-2018,2,344678,20,0,1
10260924,113200190,12-1-2018,12-16-2018,2,344947,20,1,1
10260925,111200210,12-1-2018,12-16-2018,2,344679,96.9,0,1
10260926,111207740,12-1-2018,12-16-2018,2,344939,20,0,1
10260927,115200220,12-1-2018,12-16-2018,2,344976,88.15,0,1
10260928,111200230,12-1-2018,12-16-2018,2,344680,30.7,1,1
10260929,113200240,12-1-2018,12-16-2018,2,344948,183.9,1,1
10260930,111200260,12-1-2018,12-16-2018,2,344681,61.4,0,1
10260931,111200270,12-1-2018,12-16-2018,2,344682,33.4,1,1
10260932,115200280,12-1-2018,12-16-2018,2,344977,120.5,0,1
10260933,111200290,12-1-2018,12-16-2018,2,344683,130.8,0,1
10260934,111200300,12-1-2018,12-16-2018,2,344684,25.35,0,1
10260935,111200310,12-1-2018,12-16-2018,2,344686,30.7,0,1
10260936,111200311,12-1-2018,12-16-2018,2,344687,20,1,1
10260937,111200320,12-1-2018,12-16-2018,2,344688,20,0,1
10260938,111200301,12-1-2018,12-16-2018,2,344685,60.25,0,1
10260939,111200330,12-1-2018,12-16-2018,2,344689,39.35,1,1
10260940,111200340,12-1-2018,12-16-2018,2,344690,28.05,0,1
10260941,111207739,12-1-2018,12-16-2018,2,344938,20,1,1
10260942,111200350,12-1-2018,12-16-2018,2,344691,20,1,1
10260943,111200370,12-1-2018,12-16-2018,2,344692,25.35,0,1
10260944,111200380,12-1-2018,12-16-2018,2,344693,50.15,0,1
10260945,111200381,12-1-2018,12-16-2018,2,344694,134,0,1
10260946,111207706,12-1-2018,12-16-2018,2,344911,28.05,0,1
10260947,111200410,12-1-2018,12-16-2018,2,344695,44.1,0,1
10260948,111200420,12-1-2018,12-16-2018,2,344696,20,0,1
10260949,111200430,12-1-2018,12-16-2018,2,344697,20,1,1
10260950,115200450,12-1-2018,12-16-2018,2,344978,226.6,1,1
10260951,111200460,12-1-2018,12-16-2018,2,344698,28.05,1,1
10260952,111200470,12-1-2018,12-16-2018,2,344699,20,1,1
10260953,111200480,12-1-2018,12-16-2018,2,344700,41.4,0,1
10260954,111200490,12-1-2018,12-16-2018,2,344701,20,1,1
10260955,111200500,12-1-2018,12-16-2018,2,344702,38.75,0,1
10260956,111200510,12-1-2018,12-16-2018,2,344703,20,0,1
10260957,111200540,12-1-2018,12-16-2018,2,344704,25.35,0,1
10260958,111207709,12-1-2018,12-16-2018,2,344913,25.35,1,1
10260959,111200550,12-1-2018,12-16-2018,2,344705,20,0,1
10260960,111200560,12-1-2018,12-16-2018,2,344706,73.75,0,1
10260961,111200570,12-1-2018,12-16-2018,2,344707,20,0,1
10260962,111200580,12-1-2018,12-16-2018,2,344708,35,1,1
10260963,111200590,12-1-2018,12-16-2018,2,344709,20,1,1
10260964,111200600,12-1-2018,12-16-2018,2,344710,96.9,0,1
10260965,111207697,12-1-2018,12-16-2018,2,344903,348.9,0,1
10260966,111200610,12-1-2018,12-16-2018,2,344711,46.75,0,1
10260967,111200620,12-1-2018,12-16-2018,2,344712,608.7,0,1
10260968,111200630,12-1-2018,12-16-2018,2,344713,993.85,0,1
10260969,111200640,12-1-2018,12-16-2018,2,344714,38.75,0,1
10260970,111200650,12-1-2018,12-16-2018,2,344715,41.4,0,1
10260971,111200660,12-1-2018,12-16-2018,2,344716,50.15,0,1
10260972,113200670,12-1-2018,12-16-2018,2,344949,99.55,0,1
