Acct_No,Trans_Date,Ref_Code,Ref_no,Amount,Timestamp,Tag,Reading,Consumption,sequence
111200010,3/1/2019,2,10270886,367.5,3/4/19 11:25,W,11,5,3009460
111200010,3/15/2019,4,1576542,-367.5,3/15/19 13:04,W,,,3014112
111200020,3/4/2019,2,10272579,266.18,3/8/19 15:28,W,14,12,3011638
111200020,3/13/2019,4,1576263,-266.18,3/13/19 10:08,W,,,3013697
111200030,3/1/2019,2,10270888,490.9,3/4/19 11:25,W,31,20,3009462
111200030,3/18/2019,4,1576635,-490.9,3/18/19 8:37,W,,,3014211
111200050,3/1/2019,2,10270889,490.9,3/4/19 11:25,W,37,20,3009463
111200050,3/15/2019,4,1576437,-490.9,3/15/19 8:21,W,,,3013951
111200060,3/1/2019,2,10270890,632.66,3/4/19 11:25,W,43,24,3009464
111200060,3/20/2019,10,10270890,63.3,3/20/19 8:05,W,,,3014729
111200080,3/1/2019,2,10270891,888.35,3/4/19 11:25,W,50,31,3009465
111200080,3/18/2019,4,1576647,-888.35,3/18/19 8:49,W,,,3014223
111200090,3/1/2019,2,10270893,238.09,3/4/19 11:25,W,21,11,3009467
111200090,3/15/2019,4,1576568,-238.09,3/15/19 14:32,W,,,3014139
111200101,3/1/2019,2,10270894,561.78,3/4/19 11:25,W,39,22,3009468
111200101,3/20/2019,10,10270894,56.2,3/20/19 8:05,W,,,3014730
111200110,3/1/2019,2,10270895,210,3/4/19 11:25,W,19,10,3009469
111200110,3/18/2019,4,1576781,-210,3/18/19 11:11,W,,,3014338
111200130,3/1/2019,2,10270896,210,3/4/19 11:25,W,18,10,3009470
111200130,3/20/2019,10,10270896,21,3/20/19 8:05,W,,,3014731
111200140,3/1/2019,2,10270897,526.34,3/4/19 11:25,W,33,21,3009471
111200140,3/6/2019,4,1574707,-526.34,3/5/19 15:44,W,,,3010001
111200150,3/1/2019,2,10270899,490.9,3/4/19 11:25,W,33,20,3009473
111200150,3/20/2019,10,10270899,49.1,3/20/19 8:05,W,,,3014732
111200160,3/1/2019,2,10270900,210,3/4/19 11:25,W,7,4,3009474
111200160,3/15/2019,4,1576457,-210,3/15/19 9:00,W,,,3013975
111200210,3/1/2019,2,10270902,1232.75,3/4/19 11:25,W,63,39,3009476
111200210,3/18/2019,4,1576682,-1232.75,3/18/19 9:30,W,,,3014258
111200230,3/1/2019,2,10270905,266.18,3/4/19 11:25,W,21,12,3009479
111200230,3/20/2019,10,10270905,26.65,3/20/19 8:05,W,,,3014734
111200260,3/1/2019,2,10270907,1194.44,3/4/19 11:25,W,42,23,3009481
111200260,3/5/2019,4,1574656,-1194.44,3/5/19 9:38,W,,,3009955
111200270,3/1/2019,2,10270908,238.09,3/4/19 11:25,W,19,11,3009482
111200270,3/20/2019,10,10270908,23.85,3/20/19 8:05,W,,,3014736
111200290,3/1/2019,2,10270910,526.34,3/4/19 11:25,W,497,21,3009484
111200290,3/18/2019,4,0.01576624,-526.34,3/18/19 8:25,W,,,3014198
111200290,3/18/2019,4,1576624,-526.34,3/18/19 8:26,W,,,3014200
111200290,3/18/2019,8,0.01576624,526.34,3/18/19 8:25,W,,,3014199
111200300,3/1/2019,2,10270912,406.63,3/4/19 11:25,W,268,17,3009486
111200300,3/6/2019,4,1574745,-823.02,3/6/19 10:10,W,,,3010653
111200301,3/1/2019,2,10270937,490.9,3/4/19 11:25,W,808,20,3009511
111200301,3/15/2019,4,1576493,-1303.78,3/15/19 10:08,W,,,3014039
111200310,3/1/2019,2,10270911,703.54,3/4/19 11:25,W,39,26,3009485
111200310,3/5/2019,4,1574667,-1149.98,3/5/19 10:35,W,,,3009966
111200310,3/15/2019,6,9160,-35.18,3/15/19 10:26,W,,,3014056
111200311,3/1/2019,2,10270913,210,3/4/19 11:25,W,710,5,3009487
111200311,3/20/2019,10,10270913,21,3/20/19 8:05,W,,,3014737
111200320,3/1/2019,2,10270914,210,3/4/19 11:25,W,14,7,3009488
111200320,3/6/2019,4,1574736,-210,3/6/19 9:45,W,,,3010644
111200330,3/1/2019,2,10270915,406.63,3/4/19 11:25,W,29,17,3009489
111200330,3/6/2019,4,1574721,-452.47,3/6/19 8:27,W,,,3010629
111200330,3/20/2019,10,10270915,40.7,3/20/19 8:05,W,,,3014738
111200340,3/1/2019,2,10270916,210,3/4/19 11:25,W,18,10,3009490
111200340,3/6/2019,4,1574735,-210,3/6/19 9:43,W,,,3010643
111200350,3/5/2019,2,10272817,210,3/11/19 14:14,W,1027,10,3012051
111200350,3/15/2019,4,1576467,-210,3/15/19 9:22,W,,,3013994
111200370,3/1/2019,2,10270918,378.54,3/4/19 11:25,W,24,16,3009492
111200370,3/15/2019,6,9127,-18.92,3/15/19 9:22,W,,,3013993
111200370,3/18/2019,4,1576645,-359.62,3/18/19 8:47,W,,,3014221
111200380,3/1/2019,2,10270919,210,3/4/19 11:25,W,14,8,3009493
111200380,3/13/2019,4,1576266,-199.5,3/13/19 10:14,W,,,3013700
111200380,3/14/2019,6,9090,-10.5,3/14/19 13:54,W,,,3013883
111200381,3/1/2019,2,10270920,1776.7,3/4/19 11:25,W,499,31,3009494
111200381,3/20/2019,10,10270920,177.7,3/20/19 8:05,W,,,3014739
111200381,3/21/2019,4,1577318,-1954.4,3/21/19 9:15,W,,,3015864
111200410,3/1/2019,2,10270922,322.36,3/4/19 11:25,W,22,14,3009496
111200410,3/15/2019,4,1576592,-322.36,3/15/19 15:39,W,,,3014163
111200420,3/1/2019,2,10270923,210,3/4/19 11:25,W,736,6,3009497
111200420,3/7/2019,4,1574867,-210,3/7/19 11:30,W,,,3011201
111200460,3/1/2019,2,10270925,322.36,3/4/19 11:25,W,1598,14,3009499
111200460,3/15/2019,4,1576412,-322.36,3/14/19 15:00,W,,,3013914
111200470,3/1/2019,2,10270927,210,3/4/19 11:25,W,17,10,3009501
111200470,3/13/2019,4,1576249,-261.94,3/13/19 9:31,W,,,3013683
111200470,3/20/2019,10,10270927,21,3/20/19 8:05,W,,,3014742
111200480,3/1/2019,2,10270928,238.09,3/4/19 11:25,W,16,11,3009502
111200480,3/6/2019,4,1574734,-226.19,3/6/19 9:39,W,,,3010642
111200480,3/12/2019,6,9026,-11.9,3/12/19 8:32,W,,,3012999
111200490,3/1/2019,2,10270929,210,3/4/19 11:25,W,14,7,3009503
111200490,3/20/2019,4,1577222,-231,3/20/19 11:48,W,,,3015286
111200490,3/20/2019,10,10270929,21,3/20/19 8:05,W,,,3014743
111200500,3/1/2019,2,10270930,266.18,3/4/19 11:25,W,22,12,3009504
111200500,3/6/2019,4,1574738,-266.18,3/6/19 9:46,W,,,3010646
111200510,3/1/2019,2,10270931,238.09,3/4/19 11:25,W,18,11,3009505
111200510,3/18/2019,4,1576623,-238.09,3/18/19 8:24,W,,,3014197
111200540,3/1/2019,2,10270932,238.09,3/4/19 11:25,W,2112,11,3009506
111200540,3/20/2019,10,10270932,23.85,3/20/19 8:05,W,,,3014744
111200540,3/25/2019,4,1577442,-323.72,3/22/19 14:12,W,,,3016465
111200550,3/1/2019,2,10270934,210,3/4/19 11:25,W,13,5,3009508
111200550,3/12/2019,4,1576146,-210,3/12/19 9:58,W,,,3013035
111200560,3/1/2019,2,10270935,809.86,3/4/19 11:25,W,45,29,3009509
111200560,3/15/2019,4,1576418,-809.86,3/14/19 15:09,W,,,3013920
111200570,3/1/2019,2,10270936,210,3/4/19 11:25,W,8,5,3009510
111200570,3/18/2019,4,1576689,-210,3/18/19 9:46,W,,,3014267
111200590,3/1/2019,2,10270938,210,3/4/19 11:25,W,1905,8,3009512
111200590,3/4/2019,4,1574624,-441,3/4/19 15:47,W,,,3009919
111200600,3/1/2019,2,10270939,931.4,3/4/19 11:25,W,50,32,3009513
111200600,3/18/2019,4,1576691,-931.4,3/18/19 9:49,W,,,3014269
111200610,3/1/2019,2,10270941,406.63,3/4/19 11:25,W,31,17,3009515
111200610,3/1/2019,4,1574488,-550.55,3/1/19 11:39,W,,,3009344
111200610,3/1/2019,14,1574488,-11.23,3/1/19 11:39,W,,,3009345
111200620,3/1/2019,2,10270942,6878.6,3/4/19 11:25,W,258,155,3009516
111200620,3/6/2019,4,1574798,-7552.7,3/6/19 15:58,W,,,3011119
111200620,3/6/2019,14,1574798,-154.14,3/6/19 15:58,W,,,3011120
111200630,3/1/2019,2,10270943,6099.08,3/4/19 11:25,W,259,139,3009517
111200630,3/6/2019,4,1574799,-7409.47,3/6/19 15:59,W,,,3011121
111200630,3/6/2019,14,1574799,-151.21,3/6/19 15:59,W,,,3011122
111200640,3/1/2019,2,10270944,561.78,3/4/19 11:25,W,255,22,3009518
111200640,3/1/2019,4,1574503,-550.54,3/1/19 14:50,W,,,3009361
111200640,3/1/2019,14,1574503,-11.24,3/1/19 14:50,W,,,3009362
111200650,3/1/2019,2,10270945,434.72,3/4/19 11:25,W,29,18,3009519
111200650,3/13/2019,6,9048,-21.73,3/13/19 13:22,W,,,3013734
111200650,3/15/2019,4,1576506,-412.99,3/15/19 10:39,W,,,3014070
111200660,3/1/2019,2,10270946,350.45,3/4/19 11:25,W,26,15,3009520
111200660,3/15/2019,4,1576461,-350.45,3/15/19 9:10,W,,,3013982
111200681,3/1/2019,2,10270948,406.63,3/4/19 11:25,W,31,17,3009522
111200681,3/11/2019,4,1576066,-386.3,3/11/19 13:07,W,,,3012006
111200681,3/12/2019,6,9023,-20.33,3/12/19 7:56,W,,,3012688
111200700,3/1/2019,2,10270951,350.45,3/4/19 11:25,W,26,15,3009525
111200700,3/15/2019,4,1576588,-350.45,3/15/19 15:16,W,,,3014159
111200710,3/1/2019,2,10270952,210,3/4/19 11:25,W,341,5,3009526
111200710,3/20/2019,10,10270952,21,3/20/19 8:05,W,,,3014746
111200730,3/1/2019,2,10270955,238.09,3/4/19 11:25,W,233,11,3009529
111200730,3/18/2019,4,1576686,-238.09,3/18/19 9:39,W,,,3014262
111200740,3/1/2019,2,10270956,210,3/4/19 11:25,W,15,10,3009530
111200740,3/14/2019,4,1576382,-210,3/14/19 11:44,W,,,3013856
111200750,3/5/2019,2,10272931,210,3/11/19 14:14,W,2779,10,3012165
111200750,3/15/2019,4,1576454,-210,3/15/19 8:57,W,,,3013972
111200760,3/1/2019,2,10270960,210,3/4/19 11:25,W,888,6,3009534
111200760,3/12/2019,6,9024,-10.5,3/12/19 8:28,W,,,3012996
111200760,3/15/2019,4,1576587,-199.5,3/15/19 15:12,W,,,3014158
111200770,3/1/2019,2,10270963,238.09,3/4/19 11:25,W,339,11,3009537
111200770,3/11/2019,4,1576005,-500.03,3/11/19 9:11,W,,,3011890
111200780,3/1/2019,2,10270962,378.54,3/4/19 11:25,W,24,16,3009536
111200780,3/15/2019,4,1576483,-378.54,3/15/19 9:56,W,,,3014029
111200790,3/1/2019,2,10270965,434.72,3/4/19 11:25,W,361,18,3009539
111200790,3/18/2019,4,1576751,-434.72,3/18/19 15:50,W,,,3014494
111200800,3/1/2019,2,10270966,210,3/4/19 11:25,W,1757,6,3009540
111200800,3/18/2019,4,1576752,-210,3/18/19 15:50,W,,,3014495
111200801,3/1/2019,2,10271040,378.54,3/4/19 11:25,W,3204,16,3009614
111200801,3/15/2019,4,1576523,-378.54,3/15/19 11:22,W,,,3014093
111200810,3/1/2019,2,10270968,378.54,3/4/19 11:25,W,313,16,3009542
111200810,3/20/2019,10,10270968,37.85,3/20/19 8:05,W,,,3014750
111200820,3/1/2019,2,10270969,210,3/4/19 11:25,W,1126,9,3009543
111200820,3/5/2019,4,1574673,-210,3/5/19 11:06,W,,,3009972
111200830,3/1/2019,2,10270970,294.27,3/4/19 11:25,W,24,13,3009544
111200830,3/6/2019,4,1574804,-793.67,3/6/19 16:06,W,,,3011131
111200830,3/20/2019,10,10270970,29.45,3/20/19 8:05,W,,,3014751
111200840,3/1/2019,2,10270967,350.45,3/4/19 11:25,W,25,15,3009541
111200840,3/20/2019,10,10270967,35.05,3/20/19 8:05,W,,,3014749
111200842,3/1/2019,2,10270971,210,3/4/19 11:25,W,1174,4,3009545
111200842,3/15/2019,4,1576546,-210,3/15/19 13:19,W,,,3014117
111200850,3/1/2019,2,10270981,378.54,3/4/19 11:25,W,24,16,3009555
111200850,3/14/2019,4,1576331,-378.54,3/14/19 9:17,W,,,3013803
111200860,3/1/2019,2,10270980,322.36,3/4/19 11:25,W,23,14,3009554
111200860,3/20/2019,10,10270980,32.25,3/20/19 8:05,W,,,3014755
111200870,3/1/2019,2,10270972,406.63,3/4/19 11:25,W,306,17,3009546
111200870,3/20/2019,10,10270972,40.7,3/20/19 8:05,W,,,3014752
111200881,3/1/2019,2,10270973,238.09,3/4/19 11:25,W,574,11,3009547
111200881,3/18/2019,4,1576699,-238.09,3/18/19 9:58,W,,,3014277
111200882,3/1/2019,2,10270974,210,3/4/19 11:25,W,753,7,3009548
111200882,3/15/2019,4,1576482,-210,3/15/19 9:56,W,,,3014028
111200890,3/1/2019,2,10270977,210,3/4/19 11:25,W,9,5,3009551
111200890,3/20/2019,10,10270977,21,3/20/19 8:05,W,,,3014754
111200900,3/1/2019,2,10270978,462.81,3/4/19 11:25,W,31,19,3009552
111200900,3/12/2019,4,1576147,-462.81,3/12/19 9:59,W,,,3013036
111200910,3/1/2019,2,10270979,462.81,3/4/19 11:25,W,964,19,3009553
111200910,3/5/2019,4,1574683,-1002.82,3/5/19 13:06,W,,,3009982
111200920,3/1/2019,2,10270976,266.18,3/4/19 11:25,W,317,12,3009550
111200920,3/7/2019,4,1574838,-266.18,3/7/19 9:45,W,,,3011171
111200921,3/5/2019,2,10273065,210,3/11/19 14:15,W,1319,5,3012299
111200921,3/14/2019,4,1576376,-210,3/14/19 11:15,W,,,3013850
111200930,3/1/2019,2,10270975,434.72,3/4/19 11:25,W,30,18,3009549
