Acct_No,Trans_Date,Ref_Code,Ref_no,Amount,Timestamp,Tag,Reading,Consumption,sequence
111200010,2/1/2019,2,10267548,465.78,2/6/19 7:29,W,1476,12,3001523
111200010,2/15/2019,4,1573017,-465.78,2/14/19 15:34,W,,,3005415
111200020,2/4/2019,2,10269242,210,2/8/19 17:13,W,1584,9,3003397
111200020,2/14/2019,4,1572948,-210,2/14/19 8:05,W,,,3004509
111200030,2/1/2019,2,10267550,434.72,2/6/19 7:29,W,2076,18,3001525
111200030,2/18/2019,4,1573207,-434.72,2/18/19 8:25,W,,,3005698
111200050,2/1/2019,2,10267551,668.1,2/6/19 7:29,W,1633,25,3001526
111200050,2/15/2019,4,1573141,-668.1,2/15/19 13:33,W,,,3005589
111200060,2/1/2019,2,10267552,931.4,2/6/19 7:29,W,1529,32,3001527
111200060,2/19/2019,10,10267552,93.15,2/19/19 10:04,W,,,3006281
111200060,2/26/2019,4,1574125,-2380.6,2/26/19 8:42,W,,,3008438
111200080,2/1/2019,2,10267553,668.1,2/6/19 7:29,W,1584,25,3001528
111200080,2/18/2019,6,8865,-34.4,2/18/19 10:56,W,,,3005871
111200080,2/19/2019,4,1573628,-633.7,2/19/19 8:35,W,,,3006215
111200090,2/1/2019,2,10267555,322.36,2/6/19 7:29,W,981,14,3001530
111200090,2/15/2019,4,1573128,-322.36,2/15/19 12:56,W,,,3005571
111200101,2/1/2019,2,10267556,738.98,2/6/19 7:29,W,1349,27,3001531
111200101,2/19/2019,10,10267556,73.9,2/19/19 10:04,W,,,3006282
111200110,2/1/2019,2,10267557,294.27,2/6/19 7:29,W,1255,13,3001532
111200110,2/18/2019,4,1573401,-294.27,2/18/19 11:57,W,,,3005939
111200130,2/1/2019,2,10267558,266.18,2/6/19 7:29,W,1301,12,3001533
111200130,2/19/2019,10,10267558,26.65,2/19/19 10:04,W,,,3006283
111200140,2/1/2019,2,10267559,490.9,2/6/19 7:29,W,1491,20,3001534
111200140,2/18/2019,4,1573350,-490.9,2/18/19 10:52,W,,,3005867
111200150,2/1/2019,2,10267561,632.66,2/6/19 7:29,W,1849,24,3001536
111200150,2/18/2019,6,8859,-31.63,2/18/19 10:48,W,,,3005858
111200150,2/19/2019,10,10267561,60.1,2/19/19 10:04,W,,,3006284
111200160,2/1/2019,2,10267562,210,2/6/19 7:29,W,1685,5,3001537
111200160,2/19/2019,10,10267562,21,2/19/19 10:04,W,,,3006285
111200160,2/20/2019,4,1573861,-231,2/20/19 10:09,W,,,3007203
111200210,2/1/2019,2,10267564,1324.52,2/6/19 7:29,W,3198,41,3001539
111200210,2/19/2019,10,10267564,132.45,2/19/19 10:04,W,,,3006287
111200210,2/20/2019,4,1573906,-1456.97,2/20/19 13:29,W,,,3007250
111200230,2/1/2019,2,10267567,266.18,2/6/19 7:29,W,3046,12,3001542
111200230,2/19/2019,10,10267567,26.65,2/19/19 10:04,W,,,3006288
111200230,2/26/2019,4,1574121,-292.83,2/26/19 8:34,W,,,3008434
111200260,2/1/2019,2,10267569,1477.96,2/6/19 7:29,W,2913,27,3001544
111200260,2/15/2019,4,1573191,-1477.96,2/15/19 17:02,W,,,3005682
111200270,2/1/2019,2,10267570,210,2/6/19 7:29,W,1906,8,3001545
111200270,2/19/2019,10,10267570,21,2/19/19 10:04,W,,,3006289
111200270,2/28/2019,4,1574339,-231,2/27/19 13:25,W,,,3008787
111200290,2/1/2019,2,10267572,845.3,2/6/19 7:29,W,476,30,3001547
111200290,2/18/2019,4,1573439,-845.3,2/18/19 13:00,W,,,3005987
111200300,2/1/2019,2,10267573,378.54,2/6/19 7:29,W,251,16,3001548
111200300,2/19/2019,10,10267573,37.85,2/19/19 10:04,W,,,3006290
111200301,2/1/2019,2,10267598,738.98,2/6/19 7:29,W,788,27,3001573
111200301,2/19/2019,10,10267598,73.9,2/19/19 10:04,W,,,3006299
111200310,2/1/2019,2,10267574,462.81,2/6/19 7:29,W,1926,19,3001549
111200310,2/4/2019,4,1572514,-278.19,2/4/19 14:31,W,,,3001513
111200310,2/18/2019,6,8925,-38.28,2/18/19 16:59,W,,,3006188
111200310,2/19/2019,10,10267574,42.45,2/19/19 10:04,W,,,3006291
111200311,2/1/2019,2,10267575,210,2/6/19 7:29,W,705,6,3001550
111200311,2/19/2019,10,10267575,21,2/19/19 10:04,W,,,3006292
111200311,2/20/2019,4,1573919,-462,2/20/19 14:25,W,,,3007263
111200320,2/1/2019,2,10267576,210,2/6/19 7:29,W,1585,8,3001551
111200320,2/7/2019,4,1572628,-210,2/7/19 14:01,W,,,3002599
111200330,2/1/2019,2,10267577,406.63,2/6/19 7:29,W,1301,17,3001552
111200330,2/18/2019,4,1573398,-500,2/18/19 11:54,W,,,3005934
111200330,2/19/2019,10,10267577,40.7,2/19/19 10:04,W,,,3006293
111200340,2/1/2019,2,10267578,406.63,2/6/19 7:29,W,2585,17,3001553
111200340,2/15/2019,4,1573050,-406.63,2/15/19 8:43,W,,,3005469
111200350,2/4/2019,4,1572489,-451,2/4/19 10:47,W,,,3001488
111200370,2/1/2019,2,10267580,350.45,2/6/19 7:29,W,1416,15,3001555
111200370,2/15/2019,4,1573027,-332.93,2/14/19 15:43,W,,,3005424
111200370,2/18/2019,6,8895,-17.52,2/18/19 13:29,W,,,3006018
111200380,2/1/2019,2,10267581,210,2/6/19 7:29,W,1930,7,3001556
111200380,2/11/2019,4,1572719,-199.5,2/11/19 10:21,W,,,3003640
111200380,2/18/2019,6,8850,-10.5,2/18/19 10:40,W,,,3005838
111200381,2/1/2019,2,10267582,1948.9,2/6/19 7:29,W,468,33,3001557
111200381,2/8/2019,4,1572681,-1948.9,2/8/19 16:19,W,,,3003060
111200410,2/1/2019,2,10267584,322.36,2/6/19 7:29,W,2537,14,3001559
111200410,2/15/2019,4,1573166,-322.36,2/15/19 15:00,W,,,3005642
111200420,2/1/2019,2,10267585,210,2/6/19 7:29,W,730,5,3001560
111200420,2/7/2019,4,1572578,-210,2/7/19 9:04,W,,,3001920
111200460,2/1/2019,2,10267587,294.27,2/6/19 7:29,W,1584,13,3001562
111200460,2/15/2019,4,1573083,-294.27,2/15/19 9:50,W,,,3005502
111200470,2/1/2019,2,10267588,238.09,2/6/19 7:29,W,1694,11,3001563
111200470,2/12/2019,4,1572843,-261.94,2/12/19 13:34,W,,,3003789
111200470,2/19/2019,10,10267588,23.85,2/19/19 10:04,W,,,3006295
111200480,2/1/2019,2,10267589,210,2/6/19 7:29,W,1279,8,3001564
111200480,2/15/2019,6,8784,-10.5,2/14/19 16:28,W,,,3005445
111200480,2/19/2019,4,1573685,-199.5,2/19/19 10:04,W,,,3006280
111200490,2/1/2019,2,10267590,350.45,2/6/19 7:29,W,1175,15,3001565
111200490,2/7/2019,4,1572625,-350.45,2/7/19 13:32,W,,,3002596
111200500,2/1/2019,2,10267591,434.72,2/6/19 7:29,W,1845,18,3001566
111200500,2/7/2019,4,1572590,-434.72,2/7/19 10:21,W,,,3001932
111200510,2/1/2019,2,10267592,210,2/6/19 7:29,W,2894,5,3001567
111200510,2/18/2019,4,1573438,-210,2/18/19 13:00,W,,,3005986
111200540,2/1/2019,2,10267593,294.27,2/6/19 7:29,W,2101,13,3001568
111200540,2/13/2019,4,1572925,-323.72,2/13/19 12:57,W,,,3003880
111200540,2/13/2019,5,1572925,-323.72,2/13/19 12:58,W,,,3003882
111200540,2/13/2019,8,1572925,323.72,2/13/19 12:58,W,,,3003881
111200540,2/19/2019,10,10267593,29.45,2/19/19 10:04,W,,,3006296
111200550,2/1/2019,2,10267595,378.54,2/6/19 7:29,W,1119,16,3001570
111200550,2/14/2019,4,1572970,-378.54,2/14/19 9:47,W,,,3004833
111200560,2/1/2019,2,10267596,888.35,2/6/19 7:29,W,2717,31,3001571
111200560,2/19/2019,4,1573689,-977.2,2/19/19 10:21,W,,,3006410
