Acct_No,Trans_Date,Ref_Code,Ref_no,Amount,Timestamp,Tag,Reading,Consumption,sequence
111200010,1/1/2019,2,10264214,1292.9,1/4/19 10:07,W,1464,27,2993442
111200010,1/10/2019,4,1570646,-367.5,1/10/19 13:15,W,,,2996660
111200010,1/10/2019,6,8543,-925.4,1/10/19 13:12,W,,,2996657
111200020,1/4/2019,2,10265911,210,1/7/19 16:47,W,1575,10,2995275
111200020,1/11/2019,4,1570689,-210,1/11/19 9:14,W,,,2996705
111200030,1/1/2019,2,10264216,434.72,1/4/19 10:07,W,2058,18,2993444
111200030,1/15/2019,4,1571089,-434.72,1/15/19 15:06,W,,,2997826
111200050,1/1/2019,2,10264217,210,1/4/19 10:07,W,1608,8,2993445
111200050,1/17/2019,10,10264217,21,1/17/19 13:02,W,,,2998115
111200050,1/24/2019,4,1572035,-231,1/24/19 13:04,W,,,3000547
111200060,1/1/2019,2,10264218,1232.75,1/4/19 10:07,W,1497,39,2993446
111200060,1/17/2019,10,10264218,123.3,1/17/19 13:02,W,,,2998116
111200080,1/1/2019,2,10264219,378.54,1/4/19 10:07,W,1559,16,2993447
111200080,1/14/2019,6,8632,-18.92,1/14/19 15:58,W,,,2997607
111200080,1/17/2019,10,10264219,36,1/17/19 13:02,W,,,2998117
111200080,1/21/2019,4,1571713,-395.62,1/21/19 9:46,W,,,2999036
111200090,1/1/2019,2,10264221,210,1/4/19 10:07,W,967,10,2993449
111200090,1/16/2019,4,1571118,-210,1/16/19 8:35,W,,,2997855
111200101,1/1/2019,2,10264222,774.42,1/4/19 10:07,W,1322,28,2993450
111200101,1/17/2019,10,10264222,77.45,1/17/19 13:02,W,,,2998119
111200110,1/1/2019,2,10264223,238.09,1/4/19 10:07,W,1242,11,2993451
111200110,1/15/2019,4,1571019,-238.09,1/15/19 9:49,W,,,2997724
111200130,1/1/2019,2,10264224,294.27,1/4/19 10:07,W,1289,13,2993452
111200130,1/17/2019,10,10264224,29.45,1/17/19 13:02,W,,,2998120
111200130,1/18/2019,4,1571502,-323.72,1/18/19 10:15,W,,,2998448
111200140,1/1/2019,2,10264225,434.72,1/4/19 10:07,W,1471,18,2993453
111200140,1/11/2019,4,1570699,-434.72,1/11/19 10:00,W,,,2996715
111200150,1/1/2019,2,10264227,774.42,1/4/19 10:07,W,1825,28,2993455
111200150,1/14/2019,4,1570951,-735.7,1/14/19 16:01,W,,,2997609
111200150,1/14/2019,6,8626,-38.72,1/14/19 14:56,W,,,2997586
111200160,1/1/2019,2,10264228,210,1/4/19 10:07,W,1680,7,2993456
111200160,1/15/2019,4,1571038,-210,1/15/19 10:32,W,,,2997755
111200210,1/1/2019,2,10264230,774.42,1/4/19 10:07,W,3157,28,2993458
111200210,1/16/2019,4,1571197,-774.42,1/16/19 13:18,W,,,2997936
111200230,1/1/2019,2,10264233,238.09,1/4/19 10:07,W,3034,11,2993461
111200230,1/7/2019,4,1570266,-337.4,1/7/19 8:08,W,,,2994427
111200230,1/17/2019,10,10264233,23.85,1/17/19 13:02,W,,,2998122
111200230,1/29/2019,4,1572252,-262.24,1/28/19 16:22,W,,,3001180
111200260,1/1/2019,2,10264235,532.36,1/4/19 10:07,W,2886,12,2993463
111200260,1/14/2019,4,1570970,-532.36,1/14/19 17:06,W,,,2997648
111200260,1/14/2019,8,1570970,532.36,1/15/19 8:13,W,,,2997649
111200260,1/15/2019,4,1570985,-532.36,1/15/19 8:48,W,,,2997673
111200270,1/1/2019,2,10264236,210,1/4/19 10:07,W,1898,9,2993464
111200270,1/3/2019,4,1570099,-704.85,1/3/19 8:58,W,,,2993282
