Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,M_Penalty
10274233,811100112,3-8-2019,3-23-2019,2,357857,21,0,1
10274232,811100109,3-8-2019,3-23-2019,2,357853,29.45,0,1
10274231,811100100,3-8-2019,3-23-2019,2,357844,21,0,1
10274230,811100085,3-8-2019,3-23-2019,2,357829,21,0,1
10274229,811100084,3-8-2019,3-23-2019,2,357828,21,0,1
10274228,811100083,3-8-2019,3-23-2019,2,357827,21,0,1
10274227,811100082,3-8-2019,3-23-2019,2,357826,21,0,1
10274226,811100081,3-8-2019,3-23-2019,2,357825,21,0,1
10274225,811100080,3-8-2019,3-23-2019,2,357824,21,0,1
10274224,811100079,3-8-2019,3-23-2019,2,357823,21,0,1
10274223,811100078,3-8-2019,3-23-2019,2,357822,21,0,1
10274222,811100099,3-8-2019,3-23-2019,2,357843,21,0,1
10274221,811100077,3-8-2019,3-23-2019,2,357821,21,0,1
10274220,811100076,3-8-2019,3-23-2019,2,357820,21,0,1
10274219,811100075,3-8-2019,3-23-2019,2,357819,21,0,1
10274218,811100108,3-8-2019,3-23-2019,2,357852,21,0,1
10274217,811100074,3-8-2019,3-23-2019,2,357818,21,0,1
10274216,811100097,3-8-2019,3-23-2019,2,357841,23.85,0,1
10274215,811100073,3-8-2019,3-23-2019,2,357817,52.6,0,1
10274214,811100072,3-8-2019,3-23-2019,2,357816,21,0,1
10274213,811100067,3-8-2019,3-23-2019,2,357811,73.9,0,1
10274212,811100101,3-8-2019,3-23-2019,2,357845,21,0,1
10274211,811100106,3-8-2019,3-23-2019,2,357850,21,0,1
10274210,811100070,3-8-2019,3-23-2019,2,357814,56.8,0,1
10274209,811100069,3-8-2019,3-23-2019,2,357813,21,0,1
10274208,811100068,3-8-2019,3-23-2019,2,357812,69.4,0,1
10274207,811100096,3-8-2019,3-23-2019,2,357840,21,0,1
10274206,811100066,3-8-2019,3-23-2019,2,357810,44.15,0,1
10274205,811100105,3-8-2019,3-23-2019,2,357849,23.85,0,1
10274204,811100095,3-8-2019,3-23-2019,2,357839,29.45,0,1
10274203,811100064,3-8-2019,3-23-2019,2,357808,21,0,1
10274202,811100063,3-8-2019,3-23-2019,2,357807,21,0,1
10274201,811100062,3-8-2019,3-23-2019,2,357806,21,0,1
10274200,811100094,3-8-2019,3-23-2019,2,357838,21,0,1
10274199,811100061,3-8-2019,3-23-2019,2,357805,26.65,0,1
10274198,811100104,3-8-2019,3-23-2019,2,357848,21,0,1
10274197,811100060,3-8-2019,3-23-2019,2,357804,21,0,1
10274196,811100059,3-8-2019,3-23-2019,2,357803,21,0,1
10274195,811100058,3-8-2019,3-23-2019,2,357802,21,0,1
10274194,811100057,3-8-2019,3-23-2019,2,357801,21,0,1
10274193,811100056,3-8-2019,3-23-2019,2,357800,21,0,1
10274192,811100055,3-8-2019,3-23-2019,2,357799,21,0,1
10274191,811100054,3-8-2019,3-23-2019,2,357798,21,0,1
10274190,811100053,3-8-2019,3-23-2019,2,357797,21,0,1
10274189,811100051,3-8-2019,3-23-2019,2,357796,26.65,0,1
10274188,811100050,3-8-2019,3-23-2019,2,357795,21,0,1
10274187,811100049,3-8-2019,3-23-2019,2,357794,21,0,1
10274186,811100048,3-8-2019,3-23-2019,2,357793,26.65,0,1
10274185,811100047,3-8-2019,3-23-2019,2,357792,23.85,0,1
10274184,811100046,3-8-2019,3-23-2019,2,357791,21,0,1
10274183,811100045,3-8-2019,3-23-2019,2,357790,29.45,0,1
10274182,811100044,3-8-2019,3-23-2019,2,357789,21,0,1
10274181,811100107,3-8-2019,3-23-2019,2,357851,21,0,1
10274180,811100043,3-8-2019,3-23-2019,2,357788,37.85,0,1
10274179,811100042,3-8-2019,3-23-2019,2,357787,21,0,1
10274178,811100041,3-8-2019,3-23-2019,2,357786,32.25,0,1
10274177,811100040,3-8-2019,3-23-2019,2,357785,21,0,1
10274176,811100039,3-8-2019,3-23-2019,2,357784,65.2,0,1
10274175,811100038,3-8-2019,3-23-2019,2,357783,61,0,1
10274174,811100103,3-8-2019,3-23-2019,2,357847,21,0,1
10274173,811100037,3-8-2019,3-23-2019,2,357782,165.5,0,1
10274172,811100036,3-8-2019,3-23-2019,2,357781,21,0,1
10274171,811100093,3-8-2019,3-23-2019,2,357837,21,0,1
10274170,811100035,3-8-2019,3-23-2019,2,357780,21,0,1
10274169,811100092,3-8-2019,3-23-2019,2,357836,21,0,1
10274168,811100111,3-8-2019,3-23-2019,2,357855,21,0,1
10274167,811100034,3-8-2019,3-23-2019,2,357779,21,0,1
10274166,811100091,3-8-2019,3-23-2019,2,357835,21,0,1
10274165,811100033,3-8-2019,3-23-2019,2,357778,32.25,0,1
10274164,811100032,3-8-2019,3-23-2019,2,357777,21,0,1
10274163,811100086,3-8-2019,3-23-2019,2,357830,35.75,0,1
10274162,811100090,3-8-2019,3-23-2019,2,357834,21,0,1
10274161,811100031,3-8-2019,3-23-2019,2,357776,31.5,0,1
10274160,811100030,3-8-2019,3-23-2019,2,357775,21,0,1
10274159,811100029,3-8-2019,3-23-2019,2,357774,31.5,0,1
10274158,811100028,3-8-2019,3-23-2019,2,357773,21,0,1
10274157,811100027,3-8-2019,3-23-2019,2,357772,21,0,1
10274156,811100026,3-8-2019,3-23-2019,2,357771,21,0,1
10274155,811100025,3-8-2019,3-23-2019,2,357770,21,0,1
10274154,811100024,3-8-2019,3-23-2019,2,357769,21,0,1
10274153,811100023,3-8-2019,3-23-2019,2,357768,21,0,1
10274152,811100022,3-8-2019,3-23-2019,2,357767,21,0,1
