Bill_No,B_Code,Receivable,Collected,Adjustment,sequence
10274233,7,210,0,0,2609716
10274232,3,301.87,0,0,2609715
10274232,7,294.27,0,0,2609714
10274231,3,492.94,0,0,2609713
10274231,7,210,0,0,2609712
10274230,3,6601.65,0,0,2609711
10274230,7,210,0,0,2609710
10274229,7,210,0,0,2609709
10274228,7,210,0,0,2609708
10274227,7,210,0,0,2609707
10274226,7,210,0,0,2609706
10274225,7,210,0,0,2609705
10274224,3,150,0,0,2609704
10274224,7,210,0,0,2609703
10274223,3,666.85,0,0,2609702
10274223,7,210,0,0,2609701
10274222,3,296.04,0,0,2609700
10274222,7,210,0,0,2609699
10274221,3,451.35,0,0,2609698
10274221,7,210,0,0,2609697
10274220,7,210,0,0,2609696
10274219,7,210,0,0,2609695
10274218,7,210,0,0,2609694
10274217,7,210,0,0,2609693
10274216,3,293.36,0,0,2609692
10274216,7,238.09,0,0,2609691
10274215,3,624.46,0,0,2609690
10274215,7,525.55,0,0,2609689
10274214,3,231,0,0,2609688
10274214,7,210,0,0,2609687
10274213,3,695.96,0,0,2609686
10274213,7,738.98,0,0,2609685
10274212,3,242,0,0,2609684
10274212,7,210,0,0,2609683
10274211,7,210,0,0,2609682
10274210,3,1490.39,0,0,2609681
10274210,7,567.66,0,0,2609680
10274209,7,210,0,0,2609679
10274208,3,985.04,0,0,2609678
10274208,7,693.99,0,0,2609677
10274207,7,210,0,0,2609676
10274206,3,1101.95,0,0,2609675
10274206,7,441.33,0,0,2609674
10274205,7,238.09,0,0,2609673
10274204,3,462,0,0,2609672
10274204,7,294.27,0,0,2609671
10274203,3,292.83,0,0,2609670
10274203,7,210,0,0,2609669
10274202,3,261.94,0,0,2609668
10274202,7,210,0,0,2609667
10274201,3,231,0,0,2609666
10274201,7,210,0,0,2609665
10274200,3,231,0,0,2609664
10274200,7,210,0,0,2609663
10274199,3,261.94,0,0,2609662
10274199,7,266.18,0,0,2609661
10274198,3,471.45,0,0,2609660
10274198,7,210,0,0,2609659
10274197,3,261.94,0,0,2609658
10274197,7,210,0,0,2609657
10274196,7,210,0,0,2609656
10274195,7,210,0,0,2609655
10274194,7,210,0,0,2609654
10274193,3,585.66,0,0,2609653
10274193,7,210,0,0,2609652
10274192,3,23.65,0,0,2609651
10274192,7,210,0,0,2609650
10274191,7,210,0,0,2609649
10274190,3,462,0,0,2609648
10274190,7,210,0,0,2609647
10274189,7,266.18,0,0,2609646
10274188,3,492.94,0,0,2609645
10274188,7,210,0,0,2609644
10274187,3,491.79,0,0,2609643
10274187,7,210,0,0,2609642
10274186,3,1053.57,0,0,2609641
10274186,7,266.18,0,0,2609640
10274185,7,238.09,0,0,2609639
10274184,3,682,0,0,2609638
10274184,7,210,0,0,2609637
10274183,3,180.43,0,0,2609636
10274183,7,294.27,0,0,2609635
10274182,7,210,0,0,2609634
10274181,3,261.94,0,0,2609633
10274181,7,210,0,0,2609632
10274180,3,447.33,0,0,2609631
10274180,7,378.54,0,0,2609630
10274179,3,462,0,0,2609629
10274179,7,210,0,0,2609628
10274178,3,247.44,0,0,2609627
10274178,7,322.36,0,0,2609626
10274177,7,210,0,0,2609625
10274176,7,651.88,0,0,2609624
10274175,7,609.77,0,0,2609623
10274174,7,210,0,0,2609622
10274173,7,1654.88,0,0,2609621
10274172,3,254.1,0,0,2609620
10274172,7,210,0,0,2609619
10274171,7,210,0,0,2609618
10274170,3,21,0,0,2609617
10274170,7,210,0,0,2609616
10274169,7,210,0,0,2609615
10274168,7,210,0,0,2609614
10274167,7,210,0,0,2609613
10274166,7,210,0,0,2609612
10274165,7,322.36,0,0,2609611
10274164,7,210,0,0,2609610
10274163,3,655.96,0,0,2609609
10274163,7,357.11,0,0,2609608
10274162,7,210,0,0,2609607
10274161,7,315,0,0,2609606
10274160,7,210,0,0,2609605
10274159,7,315,0,0,2609604
10274158,3,682,0,0,2609603
10274158,7,210,0,0,2609602
10274157,3,58,0,0,2609601
