SysNo,ReceiptType,ReceiptNo,AcctNo,BillNo,PymtDate,PymtMethod,Cash,CheckAmt,CheckNo,BankID,Branch,ReceiptStatus,Teller,BankSource
210271,4,1570099,111200270,10260931,1-3-2019,0,704.85,0,               ,,               ,1,WIN,0
210364,4,1570192,111200980,10261012,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210284,4,1570112,111202550,10261065,1-3-2019,0,308.3,0,               ,,               ,1,WIN,0
210290,4,1570118,111203660,10263084,1-3-2019,0,763.7,0,               ,,               ,1,WIN,0
210301,4,1570129,113205130,10262115,1-3-2019,0,1419.45,0,               ,,               ,1,WIN,0
210252,4,1570080,211200240,10261267,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210286,4,1570114,211200250,10261268,1-3-2019,0,390,0,               ,,               ,1,WIN,0
210304,4,1570132,211201960,10261360,1-3-2019,0,664.89,0,               ,,               ,1,WIN,0
210298,4,1570126,211202110,10261377,1-3-2019,0,699.9,0,               ,,               ,1,WIN,0
210269,4,1570097,211202360,10261384,1-3-2019,0,557.75,0,               ,,               ,1,WIN,0
210246,4,1570074,211202640,10261403,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210256,4,1570084,211203050,10261437,1-3-2019,0,675.4,0,               ,,               ,1,WIN,0
210356,4,1570184,211203140,10261431,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210288,4,1570116,211203220,10261435,1-3-2019,0,455.4,0,               ,,               ,1,WIN,0
210338,4,1570166,211203340,10261441,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210255,4,1570083,211203440,10261447,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210325,4,1570153,211203540,10261519,1-3-2019,0,1102.8,0,               ,,               ,1,WIN,0
210321,4,1570149,211203700,10261474,1-3-2019,0,308.3,0,               ,,               ,1,WIN,0
210314,4,1570142,211203750,10261629,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210322,4,1570150,211203840,10261479,1-3-2019,0,646,0,               ,,               ,1,WIN,0
210276,4,1570104,211204170,10261561,1-3-2019,0,564.75,0,               ,,               ,1,WIN,0
210266,4,1570094,211204380,10261547,1-3-2019,0,551.4,0,               ,,               ,1,WIN,0
210282,4,1570110,211204460,10261537,1-3-2019,0,1996.5,0,               ,,               ,1,WIN,0
210249,4,1570077,211204564,10261543,1-3-2019,0,881.4,0,               ,,               ,1,WIN,0
210368,4,1570196,211205310,10261687,1-3-2019,0,209,0,               ,,               ,1,WIN,0
210350,4,1570178,211205540,10261699,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210277,4,1570105,211205550,10261700,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210300,4,1570128,211205661,10261703,1-3-2019,0,500,0,               ,,               ,1,WIN,0
210362,4,1570190,211205730,10261708,1-3-2019,0,763.7,0,               ,,               ,1,WIN,0
210308,4,1570136,211205840,10261723,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210367,4,1570195,211206340,10261750,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210313,4,1570141,211206350,10261764,1-3-2019,0,249.45,0,               ,,               ,1,WIN,0
210279,4,1570107,211206550,10261782,1-3-2019,0,249.45,0,               ,,               ,1,WIN,0
210369,4,1570197,211207310,10261332,1-3-2019,0,551.4,0,               ,,               ,1,WIN,0
210262,4,1570090,211207360,10261444,1-3-2019,0,763.7,0,               ,,               ,1,WIN,0
210241,4,1570069,211207370,10261835,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210264,4,1570092,211207530,10261413,1-3-2019,0,822.55,0,               ,,               ,1,WIN,0
210299,4,1570127,211207580,10261582,1-3-2019,0,308.3,0,               ,,               ,1,WIN,0
210326,4,1570154,211207630,10261730,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210272,4,1570100,211207670,10261531,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210336,4,1570164,211207705,10261691,1-3-2019,0,484.85,0,               ,,               ,1,WIN,0
210239,4,1570067,211207721,10261705,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210339,4,1570167,211207726,10261574,1-3-2019,0,1177.05,0,               ,,               ,1,WIN,0
210358,4,1570186,211207766,10261821,1-3-2019,0,660,0,               ,,               ,1,WIN,0
210267,4,1570095,211207783,10261507,1-3-2019,0,662.75,0,               ,,               ,1,WIN,0
210250,4,1570078,211207795,10261798,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210254,4,1570082,211207818,10261585,1-3-2019,0,308.3,0,               ,,               ,1,WIN,0
210357,4,1570185,211207900,10261464,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210278,4,1570106,211207907,10261481,1-3-2019,0,469.45,0,               ,,               ,1,WIN,0
210365,4,1570193,211207923,10262137,1-3-2019,0,367.15,0,               ,,               ,1,WIN,0
210302,4,1570130,214202690,10261406,1-3-2019,0,396.55,0,               ,,               ,1,WIN,0
210293,4,1570121,311201670,10261960,1-3-2019,0,278.85,0,               ,,               ,1,WIN,0
210360,4,1570188,311205220,10262154,1-3-2019,0,808.5,0,               ,,               ,1,WIN,0
210257,4,1570085,314200110,10261867,1-3-2019,0,763.7,0,               ,,               ,1,WIN,0
210294,4,1570122,314203770,10262174,1-3-2019,0,748.25,0,               ,,               ,1,WIN,0
210328,4,1570156,314205648,10262165,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210329,4,1570157,314205653,10262695,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210343,4,1570171,314205682,10262212,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210341,4,1570169,314205692,10262928,1-3-2019,0,646,0,               ,,               ,1,WIN,0
210334,4,1570162,314205694,10262111,1-3-2019,0,1813.15,0,               ,,               ,1,WIN,0
210351,4,1570179,411200332,10262958,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210335,4,1570163,411200451,10262643,1-3-2019,0,763.7,0,               ,,               ,1,WIN,0
210323,4,1570151,411200840,10262310,1-3-2019,0,1214.15,0,               ,,               ,1,WIN,0
210258,4,1570086,411201690,10262359,1-3-2019,0,396.55,0,               ,,               ,1,WIN,0
210295,4,1570123,411201810,10252479,1-3-2019,0,880,0,               ,,               ,1,WIN,0
210361,4,1570189,411202034,10262382,1-3-2019,0,641.7,0,               ,,               ,1,WIN,0
210352,4,1570180,411202550,10263016,1-3-2019,0,616.6,0,               ,,               ,1,WIN,0
210354,4,1570182,411202741,10262433,1-3-2019,0,249.45,0,               ,,               ,1,WIN,0
210245,4,1570073,411202810,10262450,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210244,4,1570072,411202920,10262437,1-3-2019,0,498.9,0,               ,,               ,1,WIN,0
210366,4,1570194,411203050,10262410,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210283,4,1570111,411203310,10262599,1-3-2019,0,278.85,0,               ,,               ,1,WIN,0
210333,4,1570161,411203700,10262560,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210355,4,1570183,411203964,10262597,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210349,4,1570177,411204044,10262785,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210280,4,1570108,411204051,10262751,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210324,4,1570152,411204790,10262755,1-3-2019,0,308.3,0,               ,,               ,1,WIN,0
210289,4,1570117,411204960,10262763,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210340,4,1570168,411205410,10262794,1-3-2019,0,367.15,0,               ,,               ,1,WIN,0
210240,4,1570068,411205670,10262268,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210263,4,1570091,411205890,10262899,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210253,4,1570081,411205970,10262524,1-3-2019,0,426,0,               ,,               ,1,WIN,0
210305,4,1570133,411206150,10262412,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210303,4,1570131,411206200,10262500,1-3-2019,0,396.55,0,               ,,               ,1,WIN,0
210347,4,1570175,411206530,10262603,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210359,4,1570187,411206544,10262625,1-3-2019,0,209,0,               ,,               ,1,WIN,0
210292,4,1570120,411206546,10263627,1-3-2019,0,881.4,0,               ,,               ,1,WIN,0
210251,4,1570079,411206560,10262574,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210316,4,1570144,411206613,10263086,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210285,4,1570113,411206657,10262634,1-3-2019,0,836.55,0,               ,,               ,1,WIN,0
210370,4,1570198,411206663,10262717,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210312,4,1570140,411206697,10262505,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210327,4,1570155,411206709,10262702,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210296,4,1570124,511200860,10262868,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210291,4,1570119,511200950,10262873,1-3-2019,0,1028.5,0,               ,,               ,1,WIN,0
210317,4,1570145,511201140,10262732,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210261,4,1570089,511201280,10262906,1-3-2019,0,1028.5,0,               ,,               ,1,WIN,0
210265,4,1570093,511201393,10262929,1-3-2019,0,278.85,0,               ,,               ,1,WIN,0
210309,4,1570137,511201411,10262940,1-3-2019,0,278.85,0,               ,,               ,1,WIN,0
210297,4,1570125,511201430,10262945,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210331,4,1570159,511202300,10263160,1-3-2019,0,1514.7,0,               ,,               ,1,WIN,0
210337,4,1570165,511203440,10263261,1-3-2019,0,514.25,0,               ,,               ,1,WIN,0
210353,4,1570181,511203840,10263301,1-3-2019,0,209,0,               ,,               ,1,WIN,0
210344,4,1570172,511204980,10263209,1-3-2019,0,514.25,0,               ,,               ,1,WIN,0
210275,4,1570103,511205300,10263328,1-3-2019,0,839.15,0,               ,,               ,1,WIN,0
210346,4,1570174,511205350,10262849,1-3-2019,0,1693.8,0,               ,,               ,1,WIN,0
210306,4,1570134,511205400,10263271,1-3-2019,0,986.45,0,               ,,               ,1,WIN,0
210330,4,1570158,511205662,10262924,1-3-2019,0,771.4,0,               ,,               ,1,WIN,0
210363,4,1570191,511205682,10263003,1-3-2019,0,249.45,0,               ,,               ,1,WIN,0
210287,4,1570115,511205692,10263063,1-3-2019,0,396.55,0,               ,,               ,1,WIN,0
210311,4,1570139,511205730,10263375,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210243,4,1570071,511205751,10263005,1-3-2019,0,337.7,0,               ,,               ,1,WIN,0
210247,4,1570075,511205755,10263269,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210315,4,1570143,511205793,10262863,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210345,4,1570173,511205868,10263191,1-3-2019,0,249.45,0,               ,,               ,1,WIN,0
210242,4,1570070,611201001,10263410,1-3-2019,0,646,0,               ,,               ,1,WIN,0
210318,4,1570146,611201110,10263434,1-3-2019,0,426,0,               ,,               ,1,WIN,0
210274,4,1570102,611201380,10263562,1-3-2019,0,616.55,0,               ,,               ,1,WIN,0
210281,4,1570109,611201390,10263565,1-3-2019,0,249.45,0,               ,,               ,1,WIN,0
210248,4,1570076,611201780,10263545,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210268,4,1570096,611202160,10263595,1-3-2019,0,320.85,0,               ,,               ,1,WIN,0
210260,4,1570088,611202230,10263579,1-3-2019,0,396.55,0,               ,,               ,1,WIN,0
210332,4,1570160,611202496,10263488,1-3-2019,0,367.15,0,               ,,               ,1,WIN,0
210310,4,1570138,611202498,10263477,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210320,4,1570148,611202506,10263466,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210273,4,1570101,611202514,10263478,1-3-2019,0,440,0,               ,,               ,1,WIN,0
210270,4,1570098,611202543,10263471,1-3-2019,0,209,0,               ,,               ,1,WIN,0
210259,4,1570087,611202550,10263464,1-3-2019,0,1399.8,0,               ,,               ,1,WIN,0
210319,4,1570147,611202585,10263480,1-3-2019,0,646,0,               ,,               ,1,WIN,0
210307,4,1570135,611202594,10263663,1-3-2019,0,220,0,               ,,               ,1,WIN,0
210348,4,1570176,611202606,10263661,1-3-2019,0,330,0,               ,,               ,1,WIN,0
210342,4,1570170,611202621,10263604,1-3-2019,0,308.3,0,               ,,               ,1,WIN,0
210391,4,1570220,111200840,10260991,1-4-2019,0,646,0,               ,,               ,1,WIN,0
210386,4,1570215,111201040,10261014,1-4-2019,0,396.55,0,               ,,               ,1,WIN,0
210375,4,1570203,111203190,10261008,1-4-2019,0,209,0,               ,,               ,1,WIN,0
210394,4,1570223,111204751,10261147,1-4-2019,0,220,0,               ,,               ,1,WIN,0
210409,4,1570228,111204940,10261152,1-4-2019,0,926.2,0,               ,,               ,1,WIN,0
210408,4,1570227,111205230,10261161,1-4-2019,0,426,0,               ,,               ,1,WIN,0
210432,4,1570211,111207707,10264451,1-4-2019,0,1020.8,0,               ,,               ,1,WIN,0
210458,4,1570260,211200200,10261265,1-4-2019,0,308.3,0,               ,,               ,1,WIN,0
210373,4,1570201,211200381,10261271,1-4-2019,0,220,0,               ,,               ,1,WIN,0
210438,4,1570240,211201300,10261328,1-4-2019,0,337.7,0,               ,,               ,1,WIN,0
210392,4,1570221,211203650,10261465,1-4-2019,0,750,0,               ,,               ,1,WIN,0
210436,4,1570238,211204160,10261611,1-4-2019,0,220,0,               ,,               ,1,WIN,0
210430,4,1570233,211204461,10261528,1-4-2019,0,484.85,0,               ,,               ,1,WIN,0
210440,4,1570242,211204861,10261662,1-4-2019,0,308.3,0,               ,,               ,1,WIN,0
210393,4,1570222,211205690,10261483,1-4-2019,0,249.45,0,               ,,               ,1,WIN,0
210434,4,1570236,211207764,10261856,1-4-2019,0,440,0,               ,,               ,1,WIN,0
210451,4,1570253,211207801,10261583,1-4-2019,0,220,0,               ,,               ,1,WIN,0
210460,4,1570262,211207894,10261292,1-4-2019,0,2000,0,               ,,               ,1,WIN,0
210371,4,1570199,211207909,10261564,1-4-2019,0,220,0,               ,,               ,1,WIN,0
210383,4,1570212,311200140,10261869,1-4-2019,0,1500,0,               ,,               ,1,WIN,0
210446,4,1570248,311200250,10261876,1-4-2019,0,734.3,0,               ,,               ,1,WIN,0
210382,4,1570210,311201030,10261928,1-4-2019,0,1177.05,0,               ,,               ,1,WIN,0
210384,4,1570213,311202590,10262024,1-4-2019,0,220,0,               ,,               ,1,WIN,0
210427,4,1570230,311203480,10263141,1-4-2019,0,889.5,0,               ,,               ,1,WIN,0
210462,4,1570264,311203730,10262175,1-4-2019,0,440,0,               ,,               ,1,WIN,0
210437,4,1570239,311203860,10262178,1-4-2019,0,249.45,0,               ,,               ,1,WIN,0
210389,4,1570218,311204270,10262199,1-4-2019,0,426,0,               ,,               ,1,WIN,0
210397,4,1570226,314205647,10262210,1-4-2019,0,3765.15,0,               ,,               ,1,WIN,0
210378,4,1570206,315202270,10262003,1-4-2019,0,4935.6,0,               ,,               ,1,WIN,0
210426,4,1567448,411200311,10262281,1-4-2019,0,220,0,               ,,               ,1,MENCHIE,0
210374,4,1570202,411200330,10262283,1-4-2019,0,440,0,               ,,               ,1,WIN,0
210372,4,1570200,411200640,10262302,1-4-2019,0,881.4,0,               ,,               ,1,WIN,0
210379,4,1570207,411202120,10262387,1-4-2019,0,664.89,0,               ,,               ,1,WIN,0
210443,4,1570245,411202421,10259091,1-4-2019,0,194.93,0,               ,,               ,1,WIN,0
210459,4,1570261,411202700,10262429,1-4-2019,0,885.5,0,               ,,               ,1,WIN,0
210380,4,1570208,411203460,10262562,1-4-2019,0,220,0,               ,,               ,1,WIN,0
210449,4,1570251,411204052,10262617,1-4-2019,0,308.3,0,               ,,               ,1,WIN,0
210439,4,1570241,411204130,10262612,1-4-2019,0,1012.2,0,               ,,               ,1,WIN,0
210447,4,1570249,411204400,10259278,1-4-2019,0,1027.15,0,               ,,               ,1,WIN,0
210444,4,1570246,411205630,10262728,1-4-2019,0,220,0,               ,,               ,1,WIN,0
210463,4,1570265,411205700,10262781,1-4-2019,0,440,0,               ,,               ,1,WIN,0
210429,4,1570232,411206210,10262777,1-4-2019,0,646,0,               ,,               ,1,WIN,0
210381,4,1570209,411206430,10262600,1-4-2019,0,793.1,0,               ,,               ,1,WIN,0
