SysNo,ReceiptType,ReceiptNo,AcctNo,BillNo,PymtDate,PymtMethod,Cash,CheckAmt,CheckNo,BankID,Branch,ReceiptStatus,Teller,BankSource
210845,4,1570646,111200010,10264214,1-10-2019,0,367.5,0,               ,,               ,1,WIN,0
210814,4,1570615,111200570,10264265,1-10-2019,0,238.09,0,               ,,               ,1,WIN,0
210784,4,1570585,111200820,10264297,1-10-2019,0,210,0,               ,,               ,1,WIN,0
210810,4,1570611,111202141,10266341,1-10-2019,0,761.85,0,               ,,               ,1,WIN,0
210796,4,1570597,111203140,10264398,1-10-2019,0,406.63,0,               ,,               ,1,WIN,0
210783,4,1570584,111205300,10264469,1-10-2019,0,238.09,0,               ,,               ,1,WIN,0
210782,4,1570583,111205820,10264495,1-10-2019,0,632.66,0,               ,,               ,1,WIN,0
210844,4,1570645,111207720,10264215,1-10-2019,0,738.98,0,               ,,               ,1,WIN,0
210820,4,1570621,113207000,10264539,1-10-2019,0,367.5,0,               ,,               ,1,WIN,0
210805,4,1570606,114206060,10264507,1-10-2019,0,315,0,               ,,               ,1,WIN,0
210836,4,1570637,211200380,10264578,1-10-2019,0,210,0,               ,,               ,1,WIN,0
210835,4,1570636,211200920,10264610,1-10-2019,0,210,0,               ,,               ,1,WIN,0
210806,4,1570607,211201770,10264660,1-10-2019,0,668.1,0,               ,,               ,1,WIN,0
210821,4,1570622,211202820,10264719,1-10-2019,0,210,0,               ,,               ,1,WIN,0
210804,4,1570605,211204300,10264758,1-10-2019,0,434.72,0,               ,,               ,1,WIN,0
210812,4,1570613,211204372,10264824,1-10-2019,0,938.91,0,               ,,               ,1,WIN,0
210807,4,1570608,211204602,10264878,1-10-2019,0,350.45,0,               ,,               ,1,WIN,0
210843,4,1570644,211205400,10265037,1-10-2019,0,226.19,0,               ,,               ,1,WIN,0
210834,4,1570635,211207765,10264768,1-10-2019,0,210,0,               ,,               ,1,WIN,0
210813,4,1570614,211207853,10264943,1-10-2019,0,679.45,0,               ,,               ,1,WIN,0
210828,4,1570629,211207883,10264977,1-10-2019,0,278.85,0,               ,,               ,1,WIN,0
210780,4,1570581,311200090,10265169,1-10-2019,0,238.09,0,               ,,               ,1,WIN,0
210802,4,1570603,311200700,10265212,1-10-2019,0,238.09,0,               ,,               ,1,WIN,0
210839,4,1570640,311201420,10265248,1-10-2019,0,210,0,               ,,               ,1,WIN,0
210822,4,1570623,311201480,10265250,1-10-2019,0,199.5,0,               ,,               ,1,WIN,0
210819,4,1570620,311202360,10265315,1-10-2019,0,490.9,0,               ,,               ,1,WIN,0
210840,4,1570641,311202390,10265318,1-10-2019,0,210,0,               ,,               ,1,WIN,0
210842,4,1570643,311202540,10265325,1-10-2019,0,569.09,0,               ,,               ,1,WIN,0
210816,4,1570617,311203010,10265359,1-10-2019,0,210,0,               ,,               ,1,WIN,0
210795,4,1570596,311204630,10265533,1-10-2019,0,220,0,               ,,               ,1,WIN,0
210786,4,1570587,311205030,10265558,1-10-2019,0,1156.44,0,               ,,               ,1,WIN,0
210824,4,1570625,311205040,10265562,1-10-2019,0,199.5,0,               ,,               ,1,WIN,0
210793,4,1570594,311205090,10265565,1-10-2019,0,1913.4,0,               ,,               ,1,WIN,0
210815,4,1570616,311205230,10265570,1-10-2019,0,440,0,               ,,               ,1,WIN,0
210798,4,1570599,311205430,10266159,1-10-2019,0,625,0,               ,,               ,1,WIN,0
