Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption
111200010,ED-18-15-01591,2-1-2019,3-1-2019,6,11,5
111200030,ED-18-15-01589,2-1-2019,3-1-2019,11,31,20
111200050,ED-18-15-01593,2-1-2019,3-1-2019,17,37,20
111200060,ED-18-15-01595,2-1-2019,3-1-2019,19,43,24
111200080,ED-18-15-01592,2-1-2019,3-1-2019,19,50,31
111200090,ED-18-15-01594,2-1-2019,3-1-2019,10,21,11
111200101,ED-18-15-01599,2-1-2019,3-1-2019,17,39,22
111200110,ED-18-15-01680,2-1-2019,3-1-2019,9,19,10
111200130,ED-18-15-01596,2-1-2019,3-1-2019,8,18,10
111200140,ED-18-15-01607,2-1-2019,3-1-2019,12,33,21
111200150,ED-18-15-01597,2-1-2019,3-1-2019,13,33,20
111200160,ED-18-15-01352,2-1-2019,3-1-2019,3,7,4
111200210,ED-18-15-01351,2-1-2019,3-1-2019,24,63,39
111200230,ED-18-15-01608,2-1-2019,3-1-2019,9,21,12
111200260,ED-18-15-01575,2-1-2019,3-1-2019,19,42,23
111200270,ED-18-15-01571,2-1-2019,3-1-2019,8,19,11
111200290,17NB023598,2-1-2019,3-1-2019,476,497,21
111200300,17NB023599,2-1-2019,3-1-2019,251,268,17
111200301,150202883,2-1-2019,3-1-2019,788,808,20
111200310,ed-18-15-01353,2-1-2019,3-1-2019,13,39,26
111200311,2415,2-1-2019,3-1-2019,705,710,5
111200320,20981400,2-1-2019,3-1-2019,7,14,7
111200330,ED-18-15-01580,2-1-2019,3-1-2019,12,29,17
111200340,ED-18-15-01359,2-1-2019,3-1-2019,8,18,10
111200370,ED-18-15-01357,2-1-2019,3-1-2019,8,24,16
111200380,ED-18-15-01598,2-1-2019,3-1-2019,6,14,8
111200381,07NB023600,2-1-2019,3-1-2019,468,499,31
111200410,ED-18-15-01590,2-1-2019,3-1-2019,8,22,14
111200420,90270838,2-1-2019,3-1-2019,730,736,6
111200460,90271268,2-1-2019,3-1-2019,1584,1598,14
