Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption
111200010,2011-1100498,12-1-2018,1-1-2019,1437,1464,27
111200020,20041108001,12-4-2018,1-4-2019,1565,1575,10
111200030,101021198,12-1-2018,1-1-2019,2040,2058,18
111200050,60103741,12-1-2018,1-1-2019,1600,1608,8
111200060,1027,12-1-2018,1-1-2019,1458,1497,39
111200080,1101065,12-1-2018,1-1-2019,1543,1559,16
111200090,2612,12-1-2018,1-1-2019,957,967,10
111200101,70305042,12-1-2018,1-1-2019,1294,1322,28
111200110,112103989,12-1-2018,1-1-2019,1231,1242,11
111200130,4240153,12-1-2018,1-1-2019,1276,1289,13
111200140,1101756,12-1-2018,1-1-2019,1453,1471,18
111200150,1102644,12-1-2018,1-1-2019,1797,1825,28
111200160,80802014,12-1-2018,1-1-2019,1673,1680,7
111200210,4240047,12-1-2018,1-1-2019,3129,3157,28
111200230,990825863,12-1-2018,1-1-2019,3023,3034,11
111200260,4240177,12-1-2018,1-1-2019,2874,2886,12
111200270,2205058,12-1-2018,1-1-2019,1889,1898,9
111200290,17NB023598,12-1-2018,1-1-2019,419,446,27
111200300,17NB023599,12-1-2018,1-1-2019,221,235,14
111200301,150202883,12-1-2018,1-1-2019,731,761,30
111200310,4240167,12-1-2018,1-1-2019,1895,1907,12
111200311,2415,12-1-2018,1-1-2019,690,699,9
111200320,20981400,12-1-2018,1-1-2019,1568,1577,9
111200330,1102006,12-1-2018,1-1-2019,1263,1284,21
111200340,90613169,12-1-2018,1-1-2019,2555,2568,13
111200350,39533,12-1-2018,1-1-2019,1016,1017,1
111200370,4240194,12-1-2018,1-1-2019,1387,1401,14
111200380,2072874300,12-1-2018,1-1-2019,1911,1923,12
111200381,07NB023600,12-1-2018,1-1-2019,417,435,18
111200410,40216724,12-1-2018,1-1-2019,2505,2523,18
111200420,90270838,12-1-2018,1-1-2019,721,725,4
111200460,90271268,12-1-2018,1-1-2019,1562,1571,9
111200470,90270879,12-1-2018,1-1-2019,1672,1683,11
111200480,90271115,12-1-2018,1-1-2019,1257,1271,14
111200490,90270875,12-1-2018,1-1-2019,1150,1160,10
111200500,90271232,12-1-2018,1-1-2019,1801,1827,26
111200510,90412,12-1-2018,1-1-2019,2886,2889,3
111200540,40217541,12-1-2018,1-1-2019,2075,2088,13
111200550,90271100,12-1-2018,1-1-2019,1095,1103,8
111200560,1001956,12-1-2018,1-1-2019,2662,2686,24
111200570,20041108057,12-1-2018,1-1-2019,1616,1627,11
111200580,101023549,12-1-2018,1-1-2019,2731,2732,1
111200590,80601272,12-1-2018,1-1-2019,1876,1888,12
111200600,90270857,12-1-2018,1-1-2019,1851,1888,37
111200610,1002600,12-1-2018,1-1-2019,1703,1728,25
111200620,17NB026986,12-1-2018,1-1-2019,1826,1979,153
111200630,87077298,12-1-2018,1-1-2019,3177,3322,145
111200640,17NB044800,12-1-2018,1-1-2019,189,211,22
