Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption
111200010,ED-18-15-01591,1-1-2019,2-1-2019,1464,1476,12
111200020,20041108001,1-4-2019,2-4-2019,1575,1584,9
111200030,ED-18-15-01589,1-1-2019,2-1-2019,2058,2076,18
111200050,ED-18-15-01593,1-1-2019,2-1-2019,1608,1633,25
111200060,ED-18-15-01595,1-1-2019,2-1-2019,1497,1529,32
111200080,ED-18-15-01592,1-1-2019,2-1-2019,1559,1584,25
111200090,ED-18-15-01594,1-1-2019,2-1-2019,967,981,14
111200101,ED-18-15-01599,1-1-2019,2-1-2019,1322,1349,27
111200110,ED-18-15-01680,1-1-2019,2-1-2019,1242,1255,13
111200130,ED-18-15-01596,1-1-2019,2-1-2019,1289,1301,12
111200140,ED-18-15-01607,1-1-2019,2-1-2019,1471,1491,20
111200150,ED-18-15-01597,1-1-2019,2-1-2019,1825,1849,24
111200160,ED-18-15-01352,1-1-2019,2-1-2019,1680,1685,5
111200210,ED-18-15-01351,1-1-2019,2-1-2019,3157,3198,41
111200230,ED-18-15-01608,1-1-2019,2-1-2019,3034,3046,12
111200260,ED-18-15-01575,1-1-2019,2-1-2019,2886,2913,27
111200270,ED-18-15-01571,1-1-2019,2-1-2019,1898,1906,8
111200290,17NB023598,1-1-2019,2-1-2019,446,476,30
111200300,17NB023599,1-1-2019,2-1-2019,235,251,16
111200301,150202883,1-1-2019,2-1-2019,761,788,27
111200310,ed-18-15-01353,1-1-2019,2-1-2019,1907,1926,19
111200311,2415,1-1-2019,2-1-2019,699,705,6
111200320,20981400,1-1-2019,2-1-2019,1577,1585,8
111200330,ED-18-15-01580,1-1-2019,2-1-2019,1284,1301,17
111200340,ED-18-15-01359,1-1-2019,2-1-2019,2568,2585,17
111200370,ED-18-15-01357,1-1-2019,2-1-2019,1401,1416,15
111200380,ED-18-15-01598,1-1-2019,2-1-2019,1923,1930,7
111200381,07NB023600,1-1-2019,2-1-2019,435,468,33
111200410,ED-18-15-01590,1-1-2019,2-1-2019,2523,2537,14
111200420,90270838,1-1-2019,2-1-2019,725,730,5
111200460,90271268,1-1-2019,2-1-2019,1571,1584,13
111200470,ED-18-15-01881,1-1-2019,2-1-2019,1683,1694,11
111200480,ED-18-15-01315,1-1-2019,2-1-2019,1271,1279,8
111200490,ED-18-15-01314,1-1-2019,2-1-2019,1160,1175,15
111200500,ED-18-15-01572,1-1-2019,2-1-2019,1827,1845,18
111200510,ED-18-15-01618,1-1-2019,2-1-2019,2889,2894,5
111200540,40217541,1-1-2019,2-1-2019,2088,2101,13
111200550,ED-18-15-01495,1-1-2019,2-1-2019,1103,1119,16
111200560,ED-18-15-01576,1-1-2019,2-1-2019,2686,2717,31
111200570,ED-18-15-01346,1-1-2019,2-1-2019,1627,1633,6
111200590,80601272,1-1-2019,2-1-2019,1888,1897,9
111200600,ED-18-15-01355,1-1-2019,2-1-2019,1888,1922,34
111200610,ED-18-15-01468,1-1-2019,2-1-2019,1728,1750,22
111200620,ED-18-15-01467,1-1-2019,2-1-2019,1979,2151,172
111200630,ED-18-15-01476,1-1-2019,2-1-2019,3322,3491,169
111200640,17NB044800,1-1-2019,2-1-2019,211,233,22
111200650,ED-18-15-01466,1-1-2019,2-1-2019,1482,1502,20
111200660,ED-18-15-01470,1-1-2019,2-1-2019,3216,3233,17
111200681,ED-18-15-01464,1-1-2019,2-1-2019,1701,1724,23
111200700,ED-18-15-01465,1-1-2019,2-1-2019,1472,1497,25
111200710,160870330,1-1-2019,2-1-2019,329,336,7
111200730,17NB044803,1-1-2019,2-1-2019,210,222,12
111200740,ED-18-15-01331,1-1-2019,2-1-2019,2900,2906,6
111200750,112104317,1-5-2019,2-5-2019,2756,2769,13
111200760,4220218,1-1-2019,2-1-2019,876,882,6
111200770,17NB023592,1-1-2019,2-1-2019,317,328,11
111200780,ED-18-15-01334,1-1-2019,2-1-2019,1406,1417,11
111200790,17NB023594,1-1-2019,2-1-2019,322,343,21
111200800,728854,1-1-2019,2-1-2019,1742,1751,9
111200801,ED-18-15-10149,1-1-2019,2-1-2019,3176,3188,12
111200810,17NB044805,1-1-2019,2-1-2019,275,297,22
111200820,1529,1-1-2019,2-1-2019,1108,1117,9
111200830,ED-18-15-01366,1-1-2019,2-1-2019,1982,1998,16
111200840,ED-18-15-01340,1-1-2019,2-1-2019,2990,3009,19
111200842,9671530,1-1-2019,2-1-2019,1165,1170,5
111200850,ED-18-15-01333,1-1-2019,2-1-2019,1848,1862,14
111200860,ED-18-15-01475,1-1-2019,2-1-2019,2584,2600,16
111200870,17NB023593,1-1-2019,2-1-2019,268,289,21
111200881,140109697,1-1-2019,2-1-2019,558,563,5
111200882,80601255,1-1-2019,2-1-2019,739,746,7
111200890,ED-18-15-01339,1-1-2019,2-1-2019,2175,2176,1
111200900,ED-18-15-01335,1-1-2019,2-1-2019,3037,3057,20
111200910,1331,1-1-2019,2-1-2019,925,945,20
111200920,17NB04326,1-1-2019,2-1-2019,287,305,18
111200921,112104108,1-5-2019,2-5-2019,1300,1314,14
111200930,ED-18-15-01638,1-1-2019,2-1-2019,2331,2353,22
111200931,ED-18-15-01250,1-1-2019,2-1-2019,1415,1426,11
111200940,ED-18-15-09708,1-1-2019,2-1-2019,1959,1971,12
111200950,11270405,1-1-2019,2-1-2019,1114,1122,8
111200960,ED-18-15-01557,1-1-2019,2-1-2019,3648,3658,10
111200961,ED-18-15-01648,1-1-2019,2-1-2019,2553,2559,6
111200970,ED-18-15-01556,1-1-2019,2-1-2019,2774,2788,14
111200980,4220072,1-1-2019,2-1-2019,1340,1348,8
111200990,ED-18-15-01360,1-1-2019,2-1-2019,2593,2600,7
111201020,ED-18-15-01358,1-1-2019,2-1-2019,1140,1160,20
111201030,ED-18-15-01552,1-1-2019,2-1-2019,3002,3012,10
111201040,703300303,1-1-2019,2-1-2019,2070,2093,23
111201060,ED-18-15-01356,1-1-2019,2-1-2019,1616,1629,13
111201070,ED-18-15-09895,1-1-2019,2-1-2019,2204,2216,12
111201080,17NB023591,1-1-2019,2-1-2019,512,541,29
111201090,ED-18-15-01636,1-1-2019,2-1-2019,2511,2531,20
111201100,ED-18-15-01329,1-1-2019,2-1-2019,1516,1528,12
111201110,ED-18-15-01635,1-1-2019,2-1-2019,1799,1815,16
111201120,ED-18-15-01634,1-1-2019,2-1-2019,1885,1895,10
