MR_Sys_No,Acct_No,Mtr_No,PrevMR_Date,MR_Date,Prev_Rdg,Cur_Rdg,Cur_Consumption,Rdg_Adj,ChngdMtr_Adj,ChngdMtr_Cons,MR_Status,Remarks,Emp_ID,Time_stamp,User_ID,midentity
337945,111200010,2011-1100498,9-1-2018,10-1-2018,1418,1425,7,0,0,0,2,,0,10-1-2018 14:31,WIN,1950446
337946,111200030,101021198,9-1-2018,10-1-2018,1970,1994,24,0,0,0,2,,0,10-1-2018 14:31,WIN,1950447
337947,111200050,60103741,9-1-2018,10-1-2018,1552,1565,13,0,0,0,2,,0,10-1-2018 14:31,WIN,1950448
337948,111200060,1027,9-1-2018,10-1-2018,1370,1398,28,0,0,0,2,,0,10-1-2018 14:31,WIN,1950449
337949,111200080,1101065,9-1-2018,10-1-2018,1497,1513,16,0,0,0,2,,0,10-1-2018 14:31,WIN,1950450
337950,111200090,2612,9-1-2018,10-1-2018,914,932,18,0,0,0,2,,0,10-1-2018 14:31,WIN,1950451
337951,111200101,70305042,9-1-2018,10-1-2018,1220,1245,25,0,0,0,2,,0,10-1-2018 14:31,WIN,1950452
337952,111200110,112103989,9-1-2018,10-1-2018,1192,1205,13,0,0,0,2,,0,10-1-2018 14:31,WIN,1950453
337953,111200130,4240153,9-1-2018,10-1-2018,1240,1251,11,0,0,0,2,,0,10-1-2018 14:31,WIN,1950454
337954,111200140,1101756,9-1-2018,10-1-2018,1347,1383,36,0,0,0,2,,0,10-1-2018 14:31,WIN,1950455
337955,111200150,1102644,9-1-2018,10-1-2018,1729,1753,24,0,0,0,2,,0,10-1-2018 14:31,WIN,1950456
337956,111200160,80802014,9-1-2018,10-1-2018,1649,1658,9,0,0,0,2,,0,10-1-2018 14:31,WIN,1950457
337957,111200210,4240047,9-1-2018,10-1-2018,3040,3064,24,0,0,0,2,,0,10-1-2018 14:31,WIN,1950458
337958,111200230,990825863,9-1-2018,10-1-2018,2982,2995,13,0,0,0,2,,0,10-1-2018 14:31,WIN,1950459
337960,111200260,4240177,9-1-2018,10-1-2018,2836,2848,12,0,0,0,2,,0,10-1-2018 14:31,WIN,1950461
337961,111200270,2205058,9-1-2018,10-1-2018,1855,1860,5,0,0,0,2,,0,10-1-2018 14:31,WIN,1950462
337962,111200290,17NB023598,9-1-2018,10-1-2018,303,340,37,0,0,0,2,,0,10-1-2018 14:31,WIN,1950463
337963,111200300,17NB023599,9-1-2018,10-1-2018,187,197,10,0,0,0,2,,0,10-1-2018 14:31,WIN,1950464
337964,111200301,150202883,9-1-2018,10-1-2018,666,690,24,0,0,0,2,,0,10-1-2018 14:31,WIN,1950465
337965,111200310,4240167,9-1-2018,10-1-2018,1852,1866,14,0,0,0,2,,0,10-1-2018 14:31,WIN,1950466
337966,111200311,2415,9-1-2018,10-1-2018,668,676,8,0,0,0,2,,0,10-1-2018 14:31,WIN,1950467
337967,111200320,20981400,9-1-2018,10-1-2018,1544,1552,8,0,0,0,2,,0,10-1-2018 14:31,WIN,1950468
337968,111200330,1102006,9-1-2018,10-1-2018,1204,1226,22,0,0,0,2,,0,10-1-2018 14:31,WIN,1950469
337969,111200340,90613169,9-1-2018,10-1-2018,2515,2530,15,0,0,0,2,,0,10-1-2018 14:31,WIN,1950470
337970,111200350,39533,9-1-2018,10-1-2018,991,1001,10,0,0,0,2,,0,10-1-2018 14:31,WIN,1950471
337971,111200370,4240194,9-1-2018,10-1-2018,1350,1362,12,0,0,0,2,,0,10-1-2018 14:31,WIN,1950472
337972,111200380,2072874300,9-1-2018,10-1-2018,1873,1881,8,0,0,0,2,,0,10-1-2018 14:31,WIN,1950473
337973,111200381,07NB023600,9-1-2018,10-1-2018,335,363,28,0,0,0,2,,0,10-1-2018 14:31,WIN,1950474
337974,111200410,40216724,9-1-2018,10-1-2018,2451,2469,18,0,0,0,2,,0,10-1-2018 14:31,WIN,1950475
